ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
AMOEBA/DDM/BAR,29,1.0519505691808908,0.7829199408542336,2.170569324730399,0.788,0.613083614836438,1.7632841567291402,-0.3040000000000001,-1.1856482494086673,0.5446245064356693,0.8266462016923221,0.42791645783935073,0.9258675422668071,1.1428317915723487,0.6993868611296268,1.7903152263393747,0.7846979774097267,0.38,0.9271336349167966
RESP/GAFF/MMPBSA-Cor,20,1.4484014176555706,1.045275604087445,2.4724452797150582,1.1626666666666665,0.8195691914992574,2.1291373329906205,1.0186666666666666,0.15126227686400545,1.897426524051773,0.7047729383682843,0.02782728052076327,0.868421215785562,0.6112381582232641,0.12559353117830607,1.029236592928893,0.5741692517632146,0.0,0.8383838383838383
xtb-GNF/Machine Learning/CORINA MD,28,1.7724070262404927,1.1521606022647957,2.8263524368360478,1.2706666666666668,0.8629951980477214,2.364852238700626,0.31199999999999994,-0.7768231353343241,1.446746201167163,0.17399712202082088,0.0005565964342421299,0.6085056184798886,0.27386294697484,-0.21767733097396183,0.8681807500028917,0.3445015510579288,-0.23711340206185572,0.6701030927835052
AMOEBA/DDM/BAR_2,30,1.8896895688622157,1.2193225655377102,3.050397372111966,1.4126666666666665,0.9210852874714905,2.511113084415538,-0.992666666666667,-2.0964222258904344,0.06741577233617825,0.4260147111814006,0.016614018448299326,0.7802204191643213,0.7000525154812337,0.11619063229146263,1.4251293110234893,0.49761335152811936,-0.02040816326530612,0.8121932051642303
AMOEBA/DDM/BAR_3,31,2.097706684294383,1.4770255027768695,3.1528105489617593,1.7306666666666672,1.1467560638728989,2.740751572294518,0.2386666666666666,-1.0374905197792048,1.5357071738974968,0.5296369051380696,0.08411140798755595,0.7897804250510054,1.1764824532261426,0.45610591415947443,1.9103588102436406,0.47847437646934554,0.02,0.800044325013193
B2PLYPD3/SMD_QZ-R,23,3.9181619840600432,2.5333468330667555,5.46539299561403,3.004666666666667,1.8493048122941005,4.5712822073661705,1.8406666666666667,-0.027610963131939906,3.773021785269222,0.2851023069023313,0.023648222949681223,0.6097174084012047,1.1716446321749665,0.29108419655572315,2.2315201063420793,0.3512571265129341,-0.06250000000000001,0.6565656565656566
FSDAM/GAFF2/OPC3,14,4.568149880786896,3.283742187972791,7.621310463785852,4.17,2.6331404507665943,6.5621316954292315,-0.3993333333333335,-3.538555274365207,2.547791386504927,0.04045663418414693,0.00013020244198230324,0.48296794310924407,-0.4115268901962162,-1.6769295373836386,1.6997503306204143,-0.04854597733628859,-0.5555555555555556,0.4105263157894738
RESP/GAFF/MMPBSA/Nmode,18,5.255461920706876,4.2590282418123415,6.471363943349432,4.961333333333334,3.8877932748019974,6.12048687650634,-4.961333333333334,-6.119780620283221,-3.876410248755901,0.6817082327444384,0.24459684897844536,0.8797327253560052,1.2960892990163408,0.704948109518979,2.0156567696845094,0.6124472018807623,0.18367346938775508,0.8736842105263161
B2PLYPD3/SMD_TZ,22,6.703451349864486,3.644139348691474,9.777809350461725,4.844666666666668,2.7398959444411233,7.547638328923606,3.094,0.12525364399227357,6.305505006625491,0.30242481486578215,0.038362831887435306,0.6585099818921405,2.0031328734531666,0.6151328172045842,3.739455547457161,0.38277950117547643,-0.04123930494211613,0.7142857142857143
B2PLYPD3/SMD_QZ-NR,24,6.784403191634962,3.4308310537619793,10.404424835950378,4.711333333333333,2.579928752725147,7.69170588031871,2.6140000000000003,-0.42360350906742567,6.075674945495512,0.28717283169094976,0.034790580526674796,0.6603216806941494,2.036874586014994,0.6305368262461076,4.115145266307238,0.39807701415756647,-0.030927835051546396,0.7171717171717172
B2PLYPD3/SMD_DZ,21,7.117218089487868,5.271778893901131,8.961152167495285,6.156666666666666,4.317600572468172,8.112923910955816,5.440666666666667,2.961737278010172,7.790561285884596,0.25057816197309496,0.006244177061521013,0.617187599989547,1.409492560134869,0.0005431229279731621,2.49048036146876,0.3365384615384616,-0.10204081632653061,0.6250000000000001
RESP/GAFF/MMPBSA,19,8.659668584882448,7.543398934909831,9.834837362377854,8.479333333333333,7.315656821522244,9.622911777695817,8.479333333333333,7.315656821522244,9.622911777695817,0.7045911596426507,0.16009423178628399,0.9110774554318432,1.3555768810137445,0.6950996171716233,1.8205071521426957,0.5741692517632146,0.1739130434782609,0.8762886597938147
AM1-BCC/GAFF/MMPBSA,17,10.669422352373784,9.131294634361664,12.158873403236083,10.288,8.635835900476804,11.885965973090693,10.288,8.635835900476804,11.885965973090693,0.6310720317437765,0.1307102237764094,0.9045107092927752,1.740572361999839,0.8800512899564568,2.3769407788576227,0.5741692517632146,0.19388764539216521,0.8757908347079926
RESP/GAFF/MMGBSA,16,11.43220946857314,10.111525907751613,12.791065843107335,11.188,9.77794814672828,12.55970287479265,11.188,9.77794814672828,12.55970287479265,0.5146987505888857,0.036689837414113254,0.8665513555533314,1.2731542717062272,0.3742840759471904,1.8867502082245724,0.5167523265868932,0.08163265306122448,0.8437957800928148
Docking/GAFF/YANK_REF,REF4,,,,,,,,,,,,,,,,,,
