ID,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound
MGLab_35-g1,0.9099550355191551,0.2759247773074606,3.1674086793107605,0.5988333333333334,0.23264486740033918,2.416476722727193,-0.32216666666666677,-2.005523719195938,1.0247674568796568
MGLab_34-g1,1.1233933712937185,0.6615687517577297,2.921369716418633,0.969,0.5626910588430404,2.541237271869096,0.6689999999999999,-1.0970559571717973,1.9901402117993732
MGLab_9-g1,1.2057310368955978,0.6596609887542096,3.01902363275651,1.063,0.534970760139054,2.602403495706422,1.063,-0.42365954255552013,2.4944285621988693
MGLab_34-g2,1.6806360403133094,0.4653002655034045,3.3834305081883427,1.0691666666666666,0.38186415755984876,2.967413041419448,-0.9958333333333332,-2.7577731733281965,0.7480847212295445
MGLab_24-g2,1.4997953193686127,0.9545918070614717,3.1582076936308465,1.262333333333333,0.7937780062480976,2.845994220551647,0.8609999999999998,-0.9196399207003915,2.507773119100328
MGLab_8-g1,1.6992194776818366,0.9033649922318979,3.280547614435686,1.453166666666667,0.7738633327165698,2.9950022924135857,0.13316666666666696,-1.683228801943442,2.166896867439863
MGLab_9-g2,1.6451016179352973,0.8411119010974741,3.4877290124094595,1.4743333333333333,0.6603720596087731,3.0082580115615283,0.45233333333333325,-1.3149711311270613,2.4091753233937947
MGLab_35-g2,1.8746032913659358,0.6968942210091829,3.7800352245273823,1.5758333333333334,0.5792581937491635,3.2816599502915818,-1.5758333333333334,-3.24633286336616,-0.030317440724923223
MGLab_23-g1,1.7869993471366088,1.207772548883392,3.268270953078682,1.5799999999999998,1.0253061553983294,3.0678805446959245,1.5799999999999998,-0.1225613112505491,2.9190730950816914
MGLab_24-g1,1.8963721505372657,1.290659917801758,3.4001167217295785,1.6736666666666669,1.0970268436266009,3.180870547511318,1.6736666666666669,-0.15917028353099547,3.0376204463846563
MGLab_19-g1,1.9005350562407417,1.1943593419742695,3.3113090886291974,1.7218333333333329,0.9823018535664287,3.115698832185878,1.7218333333333329,0.016185078628720612,3.041557245742353
MGLab_23-g2,1.8506087286800164,0.9613695825013828,3.9572786506087274,1.739,0.8265914702419015,3.396845028644343,1.3543333333333336,-0.25744279441799883,3.235636026007684
MGLab_8-g2,2.4888822457748643,0.6657770054237059,4.497799248835461,1.8661666666666665,0.5421457927485162,3.9319467367277277,1.6994999999999998,-0.20902123122786373,3.8399724308798917
clip-g3,2.6007837280327637,1.3235785120861043,4.340760517855035,2.1311428571428572,1.0311124916591907,3.8113259742456482,-0.9511428571428576,-2.931748458758649,1.3343748447535788
MGLab_36-g1,2.3437402088684376,1.5982997183494139,3.7883144063485283,2.1838333333333333,1.3359488950182596,3.60858562453958,2.1838333333333333,0.45359114106499815,3.565462681799089
MGLab_19-g2,2.6047144437218703,1.1360361565409354,4.375543572598919,2.2213333333333334,0.9833714659779854,3.950119730620591,2.2213333333333334,0.4803555188868443,3.924031393646157
clip-g2,3.5025282297220675,1.121538098422651,5.345805715978905,2.405142857142857,0.9342614231838434,4.7914936473824365,-1.730857142857143,-4.2740356482777,0.7806385961743081
MGLab_36-g2,2.667186064000785,1.600112405925803,4.584319778517097,2.563833333333333,1.3755198966749955,4.186078569864452,2.0361666666666665,0.0846572165293364,3.997429037656559
clip-g7,2.978277114613174,1.8717106739733238,4.437644317961979,2.6531428571428575,1.474654641275779,4.096421729151681,-2.0817142857142863,-3.7831579503810566,0.010183677726740305
clip-g12,3.3882541227009515,1.9396797745756886,4.973250066622878,2.8468571428571425,1.3938429480440422,4.6290167789326775,-1.8954285714285706,-4.282989188237084,0.4798706840936876
