SAMPL7 Molecule ID,isomeric SMILES
SM25,O=C(NS(C1=CC=CC=C1)(=O)=O)CCC2=CC=CC=C2
SM26,O=S(CCC1=CC=CC=C1)(NC(C)=O)=O
SM27,O=S(CCC1=CC=CC=C1)(NC2(C)COC2)=O
SM28,O=S(CC1(NC(C)=O)CCC2=CC=CC=C2)(C1)=O
SM29,CS(NC1(COC1)CCC2=CC=CC=C2)(=O)=O
SM30,O=S(NC1(COC1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O
SM31,O=S(NC1(COC1)CCC2=CC=CC=C2)(N(C)C)=O
SM32,CS(NC1(CSC1)CCC2=CC=CC=C2)(=O)=O
SM33,O=S(NC1(CSC1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O
SM34,O=S(NC1(CSC1)CCC2=CC=CC=C2)(N(C)C)=O
SM35,CS(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(=O)=O
SM36,O=S(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O
SM37,O=S(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(N(C)C)=O
SM38,CS(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(=O)=O
SM39,O=S(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O
SM40,O=S(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(N(C)C)=O
SM41,O=S(NC1=NOC(C2=CC=CC=C2)=C1)(C)=O
SM42,O=S(NC1=NOC(C2=CC=CC=C2)=C1)(C3=CC=CC=C3)=O
SM43,O=S(NC1=NOC(C2=CC=CC=C2)=C1)(N(C)C)=O
SM44,O=S(NC(N=N1)=CN1C2=CC=CC=C2)(C)=O
SM45,O=S(NC(N=N1)=CN1C2=CC=CC=C2)(C3=CC=CC=C3)=O
SM46,O=S(NC(N=N1)=CN1C2=CC=CC=C2)(N(C)C)=O
