,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
12,SM37,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009
5,SM30,0.029999999999999805,0.029999999999999805,0.029999999999999805,0.029999999999999805,0.029999999999999805,0.029999999999999805
2,SM27,0.09000000000000008,0.09000000000000008,0.09000000000000008,0.09000000000000008,0.09000000000000008,0.09000000000000008
13,SM38,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998
20,SM45,0.10999999999999988,0.10999999999999988,0.10999999999999988,0.10999999999999988,0.10999999999999988,0.10999999999999988
4,SM29,0.14000000000000012,0.14000000000000012,0.14000000000000012,0.14000000000000012,0.14000000000000012,0.14000000000000012
19,SM44,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998
21,SM46,0.24999999999999994,0.24999999999999994,0.24999999999999994,0.24999999999999994,0.24999999999999994,0.24999999999999994
17,SM42,0.27,0.27,0.27,0.27,0.27,0.27
8,SM33,0.28000000000000025,0.28000000000000025,0.28000000000000025,0.28000000000000025,0.28000000000000025,0.28000000000000025
16,SM41,0.32,0.32,0.32,0.32,0.32,0.32
14,SM39,0.32000000000000006,0.32000000000000006,0.32000000000000006,0.32000000000000006,0.32000000000000006,0.32000000000000006
6,SM31,0.41999999999999993,0.41999999999999993,0.41999999999999993,0.41999999999999993,0.41999999999999993,0.41999999999999993
1,SM26,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.44000000000000006
7,SM32,0.47,0.47,0.47,0.47,0.47,0.47
0,SM25,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001,0.4700000000000001
10,SM35,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001
3,SM28,0.6900000000000002,0.6900000000000002,0.6900000000000002,0.6900000000000002,0.6900000000000002,0.6900000000000002
9,SM34,0.7800000000000002,0.7800000000000002,0.7800000000000002,0.7800000000000002,0.7800000000000002,0.7800000000000002
15,SM40,0.81,0.81,0.81,0.81,0.81,0.81
18,SM43,1.8299999999999998,1.8299999999999998,1.8299999999999998,1.8299999999999998,1.8299999999999998,1.8299999999999998
11,SM36,1.8699999999999999,1.8699999999999999,1.8699999999999999,1.8699999999999999,1.8699999999999999,1.8699999999999999
