,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
12,SM37,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009
5,SM30,0.029999999999999805,0.029999999999999805,0.029999999999999805,0.029999999999999805,0.029999999999999805,0.029999999999999805
2,SM27,0.09000000000000008,0.09000000000000008,0.09000000000000008,0.09000000000000008,0.09000000000000008,0.09000000000000008
13,SM38,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999
4,SM29,0.14000000000000012,0.14000000000000012,0.14000000000000012,0.14000000000000012,0.14000000000000012,0.14000000000000012
21,SM46,0.15999999999999992,0.15999999999999992,0.15999999999999992,0.15999999999999992,0.15999999999999992,0.15999999999999992
1,SM26,0.16999999999999993,0.16999999999999993,0.16999999999999993,0.16999999999999993,0.16999999999999993,0.16999999999999993
16,SM41,0.18999999999999997,0.18999999999999997,0.18999999999999997,0.18999999999999997,0.18999999999999997,0.18999999999999997
20,SM45,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997,0.21999999999999997
19,SM44,0.22000000000000003,0.22000000000000003,0.22000000000000003,0.22000000000000003,0.22000000000000003,0.22000000000000003
14,SM39,0.28,0.28,0.28,0.28,0.28,0.28
8,SM33,0.28000000000000025,0.28000000000000025,0.28000000000000025,0.28000000000000025,0.28000000000000025,0.28000000000000025
6,SM31,0.41999999999999993,0.41999999999999993,0.41999999999999993,0.41999999999999993,0.41999999999999993,0.41999999999999993
0,SM25,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996
7,SM32,0.47,0.47,0.47,0.47,0.47,0.47
10,SM35,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001,0.4900000000000001
3,SM28,0.6900000000000002,0.6900000000000002,0.6900000000000002,0.6900000000000002,0.6900000000000002,0.6900000000000002
9,SM34,0.7800000000000002,0.7800000000000002,0.7800000000000002,0.7800000000000002,0.7800000000000002,0.7800000000000002
15,SM40,0.81,0.81,0.81,0.81,0.81,0.81
18,SM43,0.97,0.97,0.97,0.97,0.97,0.97
17,SM42,1.24,1.24,1.24,1.24,1.24,1.24
11,SM36,1.8699999999999999,1.8699999999999999,1.8699999999999999,1.8699999999999999,1.8699999999999999,1.8699999999999999
