,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,SM27,0.0,0.0,0.0,0.0,0.0,0.0
3,SM28,0.0,0.0,0.0,0.0,0.0,0.0
6,SM31,0.0,0.0,0.0,0.0,0.0,0.0
7,SM32,0.0,0.0,0.0,0.0,0.0,0.0
8,SM33,0.0,0.0,0.0,0.0,0.0,0.0
9,SM34,0.0,0.0,0.0,0.0,0.0,0.0
12,SM37,0.0,0.0,0.0,0.0,0.0,0.0
11,SM36,0.0,0.0,0.0,0.0,0.0,0.0
5,SM30,0.004999999999999893,0.0,0.009999999999999787,0.007071067811865324,0.0,0.009999999999999787
10,SM35,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009
15,SM40,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009
4,SM29,0.015000000000000013,0.0,0.030000000000000027,0.021213203435596444,0.0,0.030000000000000027
0,SM25,0.39,0.0,0.78,0.5515432893255071,0.0,0.78
18,SM43,0.46499999999999997,0.43,0.5,0.46631534394656154,0.43,0.5
19,SM44,0.5549999999999999,0.009999999999999995,1.0999999999999999,0.7778495998584816,0.009999999999999995,1.0999999999999999
21,SM46,0.5650000000000001,0.10000000000000009,1.03,0.7317444909256235,0.10000000000000009,1.03
13,SM38,0.66,0.010000000000000009,1.31,0.9263368717696603,0.010000000000000009,1.31
1,SM26,0.75,0.030000000000000027,1.47,1.0396634070698074,0.030000000000000027,1.47
14,SM39,0.8049999999999998,0.039999999999999813,1.5699999999999998,1.1105178971993201,0.039999999999999813,1.5699999999999998
20,SM45,0.805,0.11999999999999988,1.4900000000000002,1.0570004730367912,0.11999999999999988,1.4900000000000002
16,SM41,0.8350000000000001,0.6700000000000002,1.0,0.8511462858991984,0.6700000000000002,1.0
17,SM42,0.905,0.76,1.05,0.9165424158215483,0.76,1.05
