,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
19,SM44,0.0,0.0,0.0,0.0,0.0,0.0
2,SM27,0.0,0.0,0.0,0.0,0.0,0.0
3,SM28,0.0,0.0,0.0,0.0,0.0,0.0
4,SM29,0.0,0.0,0.0,0.0,0.0,0.0
5,SM30,0.0,0.0,0.0,0.0,0.0,0.0
6,SM31,0.0,0.0,0.0,0.0,0.0,0.0
7,SM32,0.0,0.0,0.0,0.0,0.0,0.0
8,SM33,0.0,0.0,0.0,0.0,0.0,0.0
9,SM34,0.0,0.0,0.0,0.0,0.0,0.0
11,SM36,0.0,0.0,0.0,0.0,0.0,0.0
12,SM37,0.0,0.0,0.0,0.0,0.0,0.0
13,SM38,0.0,0.0,0.0,0.0,0.0,0.0
14,SM39,0.0,0.0,0.0,0.0,0.0,0.0
10,SM35,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009
20,SM45,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009
15,SM40,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000009
21,SM46,0.01000000000000012,0.01000000000000012,0.01000000000000012,0.01000000000000012,0.01000000000000012,0.01000000000000012
17,SM42,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.07999999999999996
0,SM25,0.15,0.15,0.15,0.15,0.15,0.15
1,SM26,0.58,0.58,0.58,0.58,0.58,0.58
16,SM41,1.1800000000000002,1.1800000000000002,1.1800000000000002,1.1800000000000002,1.1800000000000002,1.1800000000000002
18,SM43,1.3599999999999999,1.3599999999999999,1.3599999999999999,1.3599999999999999,1.3599999999999999,1.3599999999999999
