,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,SM27,0.1200000000000001,0.1200000000000001,0.1200000000000001,0.1200000000000001,0.1200000000000001,0.1200000000000001
7,SM32,0.1299999999999999,0.1299999999999999,0.1299999999999999,0.1299999999999999,0.1299999999999999,0.1299999999999999
11,SM36,0.13,0.13,0.13,0.13,0.13,0.13
14,SM39,0.13000000000000012,0.13000000000000012,0.13000000000000012,0.13000000000000012,0.13000000000000012,0.13000000000000012
3,SM28,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996
12,SM37,0.33999999999999986,0.33999999999999986,0.33999999999999986,0.33999999999999986,0.33999999999999986,0.33999999999999986
4,SM29,0.3900000000000001,0.3900000000000001,0.3900000000000001,0.3900000000000001,0.3900000000000001,0.3900000000000001
5,SM30,0.7900000000000005,0.7900000000000005,0.7900000000000005,0.7900000000000005,0.7900000000000005,0.7900000000000005
9,SM34,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.8300000000000001
10,SM35,0.94,0.94,0.94,0.94,0.94,0.94
16,SM41,0.94,0.94,0.94,0.94,0.94,0.94
0,SM25,1.0599999999999998,1.0599999999999998,1.0599999999999998,1.0599999999999998,1.0599999999999998,1.0599999999999998
6,SM31,1.1600000000000001,1.1600000000000001,1.1600000000000001,1.1600000000000001,1.1600000000000001,1.1600000000000001
15,SM40,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002
19,SM44,1.3299999999999998,1.3299999999999998,1.3299999999999998,1.3299999999999998,1.3299999999999998,1.3299999999999998
13,SM38,1.3800000000000001,1.3800000000000001,1.3800000000000001,1.3800000000000001,1.3800000000000001,1.3800000000000001
20,SM45,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999,1.5899999999999999
8,SM33,1.67,1.67,1.67,1.67,1.67,1.67
18,SM43,1.96,1.96,1.96,1.96,1.96,1.96
21,SM46,2.0100000000000002,2.0100000000000002,2.0100000000000002,2.0100000000000002,2.0100000000000002,2.0100000000000002
1,SM26,2.05,2.05,2.05,2.05,2.05,2.05
17,SM42,2.7,2.7,2.7,2.7,2.7,2.7
