,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,SM27,0.6728571428571429,0.32785714285714285,1.0399999999999998,0.9633868826770924,0.5704634707223343,1.2845677427501774
3,SM28,0.7878571428571428,0.4707142857142857,1.125,1.0058365388357806,0.6712195723350999,1.3008403877054686
7,SM32,0.7992857142857143,0.4221428571428571,1.197142857142857,1.0821638376089693,0.6524404734752216,1.4588620810167667
5,SM30,0.8428571428571427,0.4142857142857143,1.3078571428571428,1.1986182521076985,0.7178887697368483,1.6211724152600178
4,SM29,0.9014285714285715,0.45071428571428573,1.4021428571428574,1.2773689477090904,0.7656229956241984,1.693333567679024
8,SM33,0.9042857142857141,0.4035714285714286,1.457142857142857,1.3487931113194702,0.6953827312042936,1.8409353212817818
10,SM35,0.9335714285714286,0.48142857142857143,1.4407142857142858,1.3144770823411112,0.7504046527422008,1.7890041124283964
6,SM31,0.95,0.5742857142857142,1.3342857142857143,1.195216656988538,0.8343603195605258,1.4990663761154808
20,SM45,0.9778571428571429,0.5935714285714286,1.3814285714285717,1.2228917718728367,0.8219706286028193,1.5918228544659108
1,SM26,0.9849999999999998,0.5892857142857143,1.424285714285714,1.2705426287333186,0.7946023264141989,1.675397607392688
16,SM41,1.0157142857142856,0.6621428571428571,1.4264285714285716,1.2469792070668793,0.7768158450642323,1.6738194133691449
19,SM44,1.0385714285714287,0.5078571428571429,1.6700000000000002,1.5170836684714712,0.76758433692052,2.1324683886452873
11,SM36,1.0507142857142855,0.6,1.5307142857142857,1.3670797865732427,0.8798376473613105,1.8077333874219395
9,SM34,1.0914285714285714,0.6585714285714286,1.5542857142857147,1.3856406460551018,0.9098194483365526,1.8042271792337337
17,SM42,1.1985714285714284,0.7299999999999999,1.735714285714286,1.5398330150655022,0.9355136098880199,2.0771271369025883
12,SM37,1.2085714285714284,0.6228571428571428,1.845,1.6821457385477294,1.0778516993140965,2.176515892101739
21,SM46,1.2235714285714288,0.7264285714285713,1.770714285714286,1.5867779572814482,1.0395431688967995,2.058215246275277
14,SM39,1.3057142857142858,0.7021428571428572,1.9714285714285713,1.7973472516064175,1.1292475370794484,2.3863765120246336
18,SM43,1.3728571428571428,0.9192857142857143,1.8714285714285712,1.660735637343541,1.1180020444652912,2.146520440154251
13,SM38,1.5942857142857143,0.8414285714285715,2.4378571428571427,2.2148589119851403,1.2510738244746848,3.001832773490222
15,SM40,1.6507142857142856,0.9428571428571428,2.386428571428571,2.1463607072703987,1.3821799552053375,2.7703119989323532
0,SM25,2.202142857142857,0.6599999999999999,4.841428571428571,5.021585549263442,0.9220667778730254,8.53933921833032
