,method_name,file name,category,Molecule ID,logP (calc),logP SEM (calc),logP model uncertainty
0,logP_experimental,logP_experimental_values,experimental,SM25,2.67,0.01,0.0
1,logP_experimental,logP_experimental_values,experimental,SM26,1.04,0.01,0.0
2,logP_experimental,logP_experimental_values,experimental,SM27,1.56,0.11,0.0
3,logP_experimental,logP_experimental_values,experimental,SM28,1.18,0.08,0.0
4,logP_experimental,logP_experimental_values,experimental,SM29,1.61,0.03,0.0
5,logP_experimental,logP_experimental_values,experimental,SM30,2.76,0.19,0.0
6,logP_experimental,logP_experimental_values,experimental,SM31,1.96,0.14,0.0
7,logP_experimental,logP_experimental_values,experimental,SM32,2.44,0.17,0.0
8,logP_experimental,logP_experimental_values,experimental,SM33,2.96,0.21,0.0
9,logP_experimental,logP_experimental_values,experimental,SM34,2.83,0.20,0.0
10,logP_experimental,logP_experimental_values,experimental,SM35,0.88,0.02,0.0
11,logP_experimental,logP_experimental_values,experimental,SM36,0.76,0.05,0.0
12,logP_experimental,logP_experimental_values,experimental,SM37,1.45,0.10,0.0
13,logP_experimental,logP_experimental_values,experimental,SM38,1.03,0.07,0.0
14,logP_experimental,logP_experimental_values,experimental,SM39,1.89,0.13,0.0
15,logP_experimental,logP_experimental_values,experimental,SM40,1.83,0.05,0.0
16,logP_experimental,logP_experimental_values,experimental,SM41,0.58,0.02,0.0
17,logP_experimental,logP_experimental_values,experimental,SM42,1.76,0.03,0.0
18,logP_experimental,logP_experimental_values,experimental,SM43,0.85,0.01,0.0
19,logP_experimental,logP_experimental_values,experimental,SM44,1.16,0.03,0.0
20,logP_experimental,logP_experimental_values,experimental,SM45,2.55,0.04,0.0
21,logP_experimental,logP_experimental_values,experimental,SM46,1.72,0.01,0.0
