receipt_id,name,category,reassigned_category,physical_method_details
REF00,ChemAxon,Empirical,Empirical,
NULL0,mean clogP of FDA approved oral drugs (1998-2017),Empirical,Empirical,
HC032,Chemprop,Empirical,Empirical,
0680E,TFE-prediction-Attentive FP,Empirical,Empirical,
0A608,GROVER,Empirical,Empirical,
063A2,COSMO-RS,Physical,Physical (QM),QM
00EDA,ffsampled_deeplearning_cl1,Empirical,Empirical,
096BB,ffsampled_deeplearning_cl2,Empirical,Empirical,
08F3F,MD-EE-MCC (GAFF-TIP4P-Ew) ,Physical,Physical (MM),MM (GAFF/TIP4P-EW)
004AF,Ensemble prediction of TFE,Empirical,Empirical,
2DF02,Ensemble prediction of TFE,Empirical,Empirical,
08DA5,TFE-prediction-solvation-b3lypd3,Physical,Physical (QM),QM
02F1F,ClassicalGSG,Empirical,Empirical,
4K631,ClassicalGSG,Empirical,Empirical,
43M66,ClassicalGSG,Empirical,Empirical,
847L9,ClassicalGSG,Empirical,Empirical,
0357F,TFE-prediction-method-IEFPCM/MST,Physical,Physical (QM),QM
047D4,EC_RISM_wet,Physical,Physical (QM),QM
D4406,TFE-MD-neat-octanol,Physical,Physical (MM),MM (GAFF/TIP4P)
065C7,TFE-MD-wet-octanol,Physical,Physical (MM),MM (GAFF/TIP4P)
07B59,NES-1,Physical,Physical (MM),MM (GAFF2/OPC3)
F46P0,NES-1,Physical,Physical (MM),MM (GAFF2/OPC3)
C4A03,NES-1,Physical,Physical (MM),MM (GAFF2/OPC3)
09F0E,RayLogP三_QSPR_Mordred2D_TPOT-AutoML,Empirical,Empirical,
02BF8,TFE-SM12-vacuum-opt,Physical,Physical (QM),QM
006AC,TFE-SM8-vacuum-opt,Physical,Physical (QM),QM
7RS67,TFE-SM8-solvent-opt,Physical,Physical (QM),QM
0A274,TFE-SMD-vacuum-opt,Physical,Physical (QM),QM
085FC,TFE-SMD-solvent-opt,Physical,Physical (QM),QM
5W956,TFE-prediction-method-MLR,Empirical,Empirical,
0636A,TFE-NHLBI-TZVP-QM,Physical,Physical (QM),QM
03F9F,TFE-NHLBI-NN-IN,Empirical,Empirical,
6Q594,SAMPL7_logP_MDPOW_LigParGen,Physical,Physical (MM),MM (OPLS-AA/TIP4P)
0T68C,SAMPL7_logP_MDPOW_CGenFF,Physical,Physical (MM),MM (CGenFF/TIP3P)
043B8,SAMPL7_logP_MDPOW_GAFF,Physical,Physical (MM),MM (GAFF/TIP3P)
0B909,SAMPL7_logP_MDPOW_OPLS-AA,Physical,Physical (MM),MM (OPLS-AA/TIP4P)
