,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,SM27,0.040000000000000036,0.015000000000000013,0.08000000000000007,0.0533853912601566,0.01581138830084191,0.08717797887081355
1,SM26,0.10000000000000003,0.03500000000000003,0.16500000000000004,0.12020815280171311,0.03807886552931958,0.16568041525780894
4,SM29,0.11750000000000005,0.07500000000000007,0.16500000000000015,0.1271809734197691,0.07648529270389184,0.17058722109231997
13,SM38,0.14500000000000002,0.040000000000000036,0.25,0.18041618552668717,0.041231056256176644,0.25179356624028343
5,SM30,0.15249999999999997,0.06499999999999995,0.27500000000000013,0.18980252896102312,0.06670832032063155,0.29715315916207274
6,SM31,0.15250000000000008,0.06500000000000006,0.2400000000000001,0.1783956277491128,0.06670832032063173,0.24576411454889016
7,SM32,0.23999999999999988,0.10249999999999981,0.4425,0.29958304357890475,0.1169401556352648,0.47362960211540833
3,SM28,0.26499999999999996,0.20499999999999993,0.31999999999999995,0.27110883423451915,0.20952326839756957,0.3218695387886216
9,SM34,0.27,0.04999999999999982,0.4900000000000002,0.3497141690009144,0.06403124237432838,0.49040799340956936
20,SM45,0.2749999999999999,0.1399999999999999,0.4099999999999999,0.30651264247988197,0.1403566884761819,0.4101219330881975
19,SM44,0.2849999999999999,0.22999999999999993,0.33999999999999997,0.2913760456866692,0.23086792761230382,0.34394767043839664
12,SM37,0.31750000000000006,0.1825000000000001,0.44000000000000006,0.34673476895171623,0.21272047386182652,0.4418144406874905
14,SM39,0.33000000000000007,0.14500000000000002,0.5150000000000001,0.3804602475949361,0.14577379737113252,0.5179285665031426
0,SM25,0.3600000000000001,0.2350000000000001,0.4650000000000001,0.3809855640309749,0.2685144316419511,0.46502688094345696
21,SM46,0.4075,0.32,0.46249999999999997,0.4142764777295471,0.327414110874898,0.4626823964665178
10,SM35,0.5425,0.48250000000000004,0.58,0.5451834553615874,0.48577258053537775,0.58
8,SM33,0.63,0.45499999999999996,0.7849999999999999,0.6513063795173513,0.47318072657283916,0.7907591289387685
15,SM40,0.635,0.56,0.7100000000000002,0.6398046576885792,0.5600892785976179,0.7106335201775948
16,SM41,1.3125,1.1325000000000003,1.45,1.3236785863645297,1.146331104000934,1.4500344823486095
18,SM43,1.4775,1.2375,1.62,1.4921209736479144,1.2541231996897275,1.6203703280423276
17,SM42,1.6475,1.405,1.885,1.6682101186601164,1.4179562757715767,1.8855370587713198
11,SM36,1.98,1.8849999999999998,2.06,1.9822462006521795,1.8874056267797867,2.0600242717016712
