,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
2,SM27,0.19714285714285712,0.0285714285714286,0.46571428571428564,0.37902129604699364,0.041403933560541284,0.6420725370681593
4,SM29,0.21714285714285717,0.10142857142857149,0.35714285714285726,0.2779516915889214,0.1089560855181048,0.40204832687483866
5,SM30,0.27285714285714285,0.10428571428571447,0.4628571428571428,0.36627468224973303,0.1452583904633396,0.5228356748129787
1,SM26,0.3385714285714286,0.06571428571428574,0.6371428571428571,0.5292447448959696,0.09180725150319789,0.7602067387982598
6,SM31,0.35571428571428576,0.1414285714285715,0.697142857142857,0.5380520420925842,0.17312258249988244,0.8835722947218296
12,SM37,0.4314285714285715,0.22857142857142865,0.6842857142857142,0.5323264304648311,0.27181926768666403,0.7800915697165668
0,SM25,0.4400000000000001,0.2285714285714287,0.7285714285714288,0.5601530403125816,0.27192435923038816,0.8490162374351693
9,SM34,0.4871428571428572,0.18142857142857136,0.9214285714285716,0.7047491955096002,0.26573348624944837,1.1256426735742693
13,SM38,0.5314285714285714,0.10142857142857145,1.2385714285714287,1.0094411466605808,0.1394376460747138,1.7156215033792104
3,SM28,0.5342857142857143,0.24,1.0757142857142856,0.843682404699778,0.24474476501040834,1.41125071175485
10,SM35,0.5442857142857143,0.5042857142857143,0.5771428571428572,0.5466913467135076,0.5073037974006728,0.5771852883978048
21,SM46,0.5828571428571429,0.39428571428571424,0.8871428571428572,0.6843766715569932,0.4037148923259016,1.00899525696181
15,SM40,0.6014285714285714,0.4671428571428572,0.7328571428571429,0.6278421093600798,0.49671779858242593,0.7424573099800804
7,SM32,0.637142857142857,0.18571428571428555,1.304285714285714,1.022825218975084,0.24166091947189133,1.683677946809136
14,SM39,0.6742857142857144,0.3157142857142857,1.172857142857143,0.9015542135667717,0.383182164810122,1.4028338665511526
20,SM45,0.7171428571428571,0.2528571428571428,1.522857142857143,1.2111859595336416,0.2866555922556344,2.041991325013055
19,SM44,0.7885714285714285,0.20142857142857137,1.8900000000000001,1.5492210024027284,0.2124012375535644,2.659986573542914
8,SM33,0.9800000000000001,0.5914285714285715,1.4542857142857142,1.1417655501146335,0.6106202935189289,1.582516079809979
16,SM41,1.5400000000000003,1.1914285714285717,2.0014285714285713,1.6378382965709057,1.2131540945580068,2.1207983671923443
18,SM43,1.7614285714285713,1.3357142857142859,2.221428571428572,1.8600268815261785,1.3588282767569586,2.2900218339570477
11,SM36,2.0471428571428567,1.9471428571428573,2.1671428571428573,2.052500217504774,1.9500000000000002,2.173775517389043
17,SM42,2.1185714285714288,1.4942857142857142,2.9842857142857144,2.3568895967839842,1.5257410377536922,3.257749003749149
