,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
5,SM30,0.12666666666666662,0.0633333333333334,0.2183333333333334,0.16155494421403516,0.06633249580710797,0.2512966374625814
20,SM45,0.215,0.11166666666666665,0.32,0.25635262172770273,0.11291589790636226,0.3473950680901116
0,SM25,0.2833333333333334,0.1499999999999999,0.4100000000000001,0.327414110874898,0.19949937343260007,0.4201785334830899
2,SM27,0.3316666666666667,0.0316666666666667,0.6900000000000001,0.5407248221908565,0.04453463071962466,0.8330566207247461
14,SM39,0.36166666666666675,0.17333333333333334,0.5700000000000002,0.44315159182082764,0.21748563170931554,0.6220396557562335
7,SM32,0.37999999999999995,0.14500000000000002,0.6983333333333333,0.5191980996369946,0.15890248582070704,0.81487217811548
1,SM26,0.38000000000000006,0.07833333333333337,0.8916666666666666,0.6769785816405125,0.10230672835481874,1.152793708055927
4,SM29,0.395,0.10500000000000002,0.7133333333333335,0.5612040627080314,0.11496376240653683,0.8235795853063221
6,SM31,0.3966666666666667,0.1283333333333334,0.7183333333333333,0.5419409561935691,0.1523154621172783,0.8135416399914634
9,SM34,0.43500000000000005,0.1299999999999999,0.8450000000000001,0.6281852168482372,0.21063396370639442,1.0016236818286597
19,SM44,0.5383333333333332,0.2666666666666666,0.9516666666666667,0.699726136904051,0.2727025241296212,1.1022930644796785
8,SM33,0.5433333333333333,0.3999999999999999,0.6966666666666668,0.5745142876088171,0.41769207158703237,0.7193515598555873
13,SM38,0.5800000000000001,0.1166666666666667,1.1033333333333333,0.8563488385776753,0.150996688705415,1.2691532610366647
21,SM46,0.5983333333333333,0.3916666666666666,0.8183333333333334,0.659608469725286,0.3996873778342268,0.8582249122462013
3,SM28,0.6033333333333334,0.24999999999999997,1.0133333333333334,0.7800427338721044,0.25690465157330256,1.1464147009990175
12,SM37,0.7050000000000001,0.28166666666666673,1.2033333333333334,0.9135553258195879,0.31160872901765774,1.347219358530748
10,SM35,0.8766666666666668,0.53,1.301666666666667,1.0060980734169673,0.5330728530573159,1.4066093985182953
15,SM40,0.8850000000000001,0.6100000000000002,1.3200000000000003,1.0074638124187556,0.6143831594914259,1.4587094753011423
16,SM41,1.3266666666666664,0.9683333333333334,1.675,1.3983204210766573,1.0326987298659116,1.7279129993530733
18,SM43,1.366666666666667,0.9650000000000002,1.6700000000000002,1.4382976048092413,1.0854185060764965,1.6732503299466779
17,SM42,1.4983333333333333,1.2166666666666668,1.7666666666666666,1.5379477667766657,1.2515656861174593,1.775039905654706
11,SM36,1.78,1.3966666666666667,2.016666666666667,1.8287883055910727,1.4979207811719104,2.0184069625986396
