,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
1,SM26,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018
2,SM27,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018
13,SM38,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044
5,SM30,0.050000000000000266,0.050000000000000266,0.050000000000000266,0.050000000000000266,0.050000000000000266,0.050000000000000266
4,SM29,0.09000000000000008,0.09000000000000008,0.09000000000000008,0.09000000000000008,0.09000000000000008,0.09000000000000008
12,SM37,0.1100000000000001,0.1100000000000001,0.1100000000000001,0.1100000000000001,0.1100000000000001,0.1100000000000001
7,SM32,0.19999999999999973,0.19999999999999973,0.19999999999999973,0.19999999999999973,0.19999999999999973,0.19999999999999973
19,SM44,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996
3,SM28,0.26,0.26,0.26,0.26,0.26,0.26
6,SM31,0.28,0.28,0.28,0.28,0.28,0.28
0,SM25,0.3500000000000001,0.3500000000000001,0.3500000000000001,0.3500000000000001,0.3500000000000001,0.3500000000000001
20,SM45,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999
21,SM46,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.43999999999999995
9,SM34,0.4700000000000002,0.4700000000000002,0.4700000000000002,0.4700000000000002,0.4700000000000002,0.4700000000000002
15,SM40,0.55,0.55,0.55,0.55,0.55,0.55
14,SM39,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001
10,SM35,0.58,0.58,0.58,0.58,0.58,0.58
8,SM33,0.6200000000000001,0.6200000000000001,0.6200000000000001,0.6200000000000001,0.6200000000000001,0.6200000000000001
16,SM41,1.0300000000000002,1.0300000000000002,1.0300000000000002,1.0300000000000002,1.0300000000000002,1.0300000000000002
18,SM43,1.12,1.12,1.12,1.12,1.12,1.12
17,SM42,1.26,1.26,1.26,1.26,1.26,1.26
11,SM36,2.05,2.05,2.05,2.05,2.05,2.05
