,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
0,SM25,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028,0.07000000000000028
9,SM34,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996,0.20999999999999996
2,SM27,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998,0.22999999999999998
15,SM40,0.25,0.25,0.25,0.25,0.25,0.25
6,SM31,0.28000000000000025,0.28000000000000025,0.28000000000000025,0.28000000000000025,0.28000000000000025,0.28000000000000025
4,SM29,0.42000000000000015,0.42000000000000015,0.42000000000000015,0.42000000000000015,0.42000000000000015,0.42000000000000015
10,SM35,0.48,0.48,0.48,0.48,0.48,0.48
5,SM30,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.5499999999999998,0.5499999999999998
12,SM37,0.55,0.55,0.55,0.55,0.55,0.55
1,SM26,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001
21,SM46,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002,1.4400000000000002
8,SM33,1.6100000000000003,1.6100000000000003,1.6100000000000003,1.6100000000000003,1.6100000000000003,1.6100000000000003
11,SM36,1.9999999999999998,1.9999999999999998,1.9999999999999998,1.9999999999999998,1.9999999999999998,1.9999999999999998
14,SM39,2.04,2.04,2.04,2.04,2.04,2.04
3,SM28,2.13,2.13,2.13,2.13,2.13,2.13
7,SM32,2.51,2.51,2.51,2.51,2.51,2.51
13,SM38,2.5999999999999996,2.5999999999999996,2.5999999999999996,2.5999999999999996,2.5999999999999996,2.5999999999999996
18,SM43,2.73,2.73,2.73,2.73,2.73,2.73
16,SM41,2.79,2.79,2.79,2.79,2.79,2.79
20,SM45,3.09,3.09,3.09,3.09,3.09,3.09
19,SM44,4.05,4.05,4.05,4.05,4.05,4.05
17,SM42,4.44,4.44,4.44,4.44,4.44,4.44
