,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
19,SM44,0.1200000000000001,0.1200000000000001,0.1200000000000001,0.1200000000000001,0.1200000000000001,0.1200000000000001
3,SM28,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.29000000000000004,0.29000000000000004
20,SM45,0.43000000000000016,0.43000000000000016,0.43000000000000016,0.43000000000000016,0.43000000000000016,0.43000000000000016
13,SM38,0.49,0.49,0.49,0.49,0.49,0.49
4,SM29,0.5399999999999998,0.5399999999999998,0.5399999999999998,0.5399999999999998,0.5399999999999998,0.5399999999999998
21,SM46,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001
10,SM35,0.58,0.58,0.58,0.58,0.58,0.58
5,SM30,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002
7,SM32,0.79,0.79,0.79,0.79,0.79,0.79
14,SM39,0.7900000000000003,0.7900000000000003,0.7900000000000003,0.7900000000000003,0.7900000000000003,0.7900000000000003
15,SM40,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001
2,SM27,0.9699999999999998,0.9699999999999998,0.9699999999999998,0.9699999999999998,0.9699999999999998,0.9699999999999998
1,SM26,1.0,1.0,1.0,1.0,1.0,1.0
12,SM37,1.09,1.09,1.09,1.09,1.09,1.09
0,SM25,1.2200000000000002,1.2200000000000002,1.2200000000000002,1.2200000000000002,1.2200000000000002,1.2200000000000002
6,SM31,1.3199999999999998,1.3199999999999998,1.3199999999999998,1.3199999999999998,1.3199999999999998,1.3199999999999998
9,SM34,1.6500000000000004,1.6500000000000004,1.6500000000000004,1.6500000000000004,1.6500000000000004,1.6500000000000004
16,SM41,1.71,1.71,1.71,1.71,1.71,1.71
8,SM33,2.1100000000000003,2.1100000000000003,2.1100000000000003,2.1100000000000003,2.1100000000000003,2.1100000000000003
11,SM36,2.3600000000000003,2.3600000000000003,2.3600000000000003,2.3600000000000003,2.3600000000000003,2.3600000000000003
17,SM42,2.54,2.54,2.54,2.54,2.54,2.54
18,SM43,2.57,2.57,2.57,2.57,2.57,2.57
