,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
5,SM30,0.2288888888888889,0.09222222222222227,0.3933333333333333,0.32516662395352536,0.12449899597988746,0.4751140214025822
2,SM27,0.3566666666666667,0.10444444444444448,0.6499999999999999,0.5526200221570775,0.1541283736226252,0.7877605389118362
0,SM25,0.37111111111111117,0.18222222222222229,0.6177777777777779,0.500999001995014,0.235513623102076,0.7596709814123481
4,SM29,0.38,0.17111111111111113,0.6233333333333334,0.5127052434554056,0.22075627586397928,0.7303956309958171
1,SM26,0.4722222222222222,0.15333333333333338,0.8533333333333333,0.7190039406475229,0.19075871903765995,1.0534757287717222
6,SM31,0.47333333333333333,0.21888888888888902,0.7766666666666668,0.6378261692829968,0.24893104801664803,0.918168466749612
9,SM34,0.548888888888889,0.22999999999999998,0.9377777777777779,0.7713768354197723,0.2959166549328826,1.128016942347154
20,SM45,0.5788888888888889,0.18666666666666668,1.24,1.0691273700234847,0.2235571018280963,1.8059931093753128
14,SM39,0.6188888888888889,0.3055555555555556,1.0311111111111113,0.8359226439489881,0.3874417518945411,1.2695931106723393
7,SM32,0.6422222222222221,0.251111111111111,1.17,0.9764789353135637,0.31162655713387305,1.533065193946066
12,SM37,0.6644444444444445,0.34333333333333343,1.0233333333333334,0.8505031190745602,0.4343577634469847,1.186811788879021
21,SM46,0.6711111111111111,0.4577777777777777,0.9166666666666666,0.7603069555558905,0.47519586605010683,1.0100495037373167
3,SM28,0.7,0.29,1.1666666666666667,0.9626006440887104,0.29321967494998996,1.390379644397729
13,SM38,0.7355555555555555,0.24333333333333337,1.333333333333333,1.1255912026821973,0.4308647635215073,1.6912027278439052
10,SM35,0.7666666666666667,0.5333333333333333,1.0744444444444445,0.8804418082859184,0.5359726361174296,1.195254505673722
15,SM40,0.7755555555555556,0.5377777777777779,1.11,0.8951598243392692,0.5712948256178921,1.2614321666705315
8,SM33,0.8444444444444446,0.5111111111111111,1.2611111111111113,1.0224697767877762,0.5368633180076864,1.4510838860811752
19,SM44,0.8455555555555555,0.2555555555555555,1.7355555555555553,1.4681318439129067,0.2753179979587241,2.4123478650937185
16,SM41,1.4988888888888887,1.1288888888888888,1.913333333333333,1.6159242281465773,1.1896404685636934,2.0316933276894367
18,SM43,1.6244444444444446,1.2011111111111112,2.06,1.7551321571006808,1.3078226179417451,2.1599356986313785
11,SM36,1.8988888888888888,1.6077777777777778,2.107777777777778,1.939040427061225,1.696836926624228,2.1156322931927467
17,SM42,1.9144444444444444,1.3755555555555556,2.634444444444445,2.1588191216496115,1.4201408380861384,2.9530793720754915
