,Molecule ID,MAE,MAE_lower_CI,MAE_upper_CI,RMSE,RMSE_lower_CI,RMSE_upper_CI
10,SM45,5.7903854161601656,2.558475559180868,9.13917034581586,7.475851816094887,4.259597116250274,10.032339549670546
9,SM44,5.917155935124452,2.6562606459538944,9.249290986126592,7.608389119203163,4.1000380397465905,10.159013757023864
11,SM46,6.065210359642706,2.6785865573745453,9.613535588968002,7.831279736214102,4.278216008705614,10.539416660464639
6,SM41,6.625669823907615,3.0772596929808227,10.386377330219794,8.478307118268328,4.579631902515954,11.582515992223044
8,SM43,7.482060992851698,4.0057260603803195,10.890078203700654,8.965929940313645,5.54857681678654,11.443162937342636
7,SM42,7.595092506248227,3.75968784042467,11.64971563517325,9.529588420031871,5.315114178585425,12.819847852354101
5,SM40,8.81872936284085,4.284475911459543,13.336209112040475,10.951563067978588,6.175658278773372,14.398405196156382
4,SM37,9.101847454406698,5.238124561503819,13.222708213118153,10.739391893501372,6.374446059357934,14.307311192399123
2,SM31,10.78200441863894,5.139810948103253,14.30620230781357,11.51079321121894,5.139810948103253,14.306202307813567
3,SM34,11.396191833499413,6.064383907339548,15.114191593158644,12.034334764751332,6.064383907339548,15.114191593158644
0,SM25,11.697095180436229,9.154178399574711,14.240011961297744,11.970315844394896,9.154178399574711,14.240011961297744
1,SM26,12.19520121301808,9.53039585277284,14.86000657326332,12.482953185604334,9.53039585277284,14.86000657326332
