,ID tag,prediction count,average FE prediction,min prediction,max prediction,prediction STD,average SEM
0,SM25_micro001,8,6.42375,-6.66,16.33,9.514225345690075,0.34125
1,SM25_micro002,7,-4.001428571428572,-14.89,14.57,11.495847697569513,0.31857142857142856
2,SM25_micro003,7,0.574285714285714,-9.16,9.85,8.934481624848859,0.31857142857142856
3,SM25_micro004,2,-8.915,-12.08,-5.75,4.475985924910846,0.005
4,SM25_micro005,2,-0.8400000000000001,-2.33,0.65,2.107178207935912,0.005
5,SM26_micro001,8,-0.11499999999999988,-7.15,7.85,6.3335613994023925,0.34125
6,SM26_micro002,7,13.897142857142857,-7.79,23.13,11.194133455052418,0.31857142857142856
7,SM26_micro003,7,-0.327142857142856,-23.44,32.35,22.532483007342766,0.31857142857142856
8,SM26_micro004,2,4.3,3.78,4.82,0.7353910524340099,0.005
9,SM26_micro005,2,8.145,6.34,9.95,2.5526554800834362,0.005
10,SM27_micro001,8,-1.1725000000000005,-13.86,16.78,12.6667977123547,0.34125
11,SM28_micro001,8,13.024999999999999,-14.41,28.41,16.398025142419698,0.34125
12,SM28_micro002,7,-0.2828571428571439,-19.34,21.92,17.436846727821056,0.31857142857142856
13,SM28_micro003,7,4.214285714285714,-5.18,9.38,4.708385629713781,0.31857142857142856
14,SM28_micro004,2,25.11,18.7,31.52,9.06510893481154,0.005
15,SM29_micro001,8,-0.7925000000000006,-13.6,15.65,11.890021927169496,0.34125
16,SM30_micro001,8,-0.8524999999999989,-12.9,14.96,11.498062880329016,0.34125
17,SM31_micro001,8,-1.2699999999999994,-13.16,14.74,12.289444948526242,0.34125
18,SM31_micro002,3,-0.5600000000000002,-8.07,4.51,6.635457783755391,0.7433333333333333
19,SM32_micro001,8,-0.9087500000000013,-13.74,16.25,12.186169487813398,0.34125
20,SM33_micro001,8,-0.7087500000000007,-12.44,14.54,11.158400342983114,0.34125
21,SM34_micro001,8,-1.312499999999999,-14.35,14.81,12.137568301999965,0.34125
22,SM34_micro002,3,-0.8666666666666668,-8.05,4.37,6.434767543068929,0.7433333333333333
23,SM35_micro001,8,-1.2262499999999998,-11.83,13.98,11.049544189047541,0.34125
24,SM35_micro002,7,-0.5571428571428572,-1.89,0.72,1.051946042433012,0.31857142857142856
25,SM35_micro003,7,-0.6185714285714289,-13.2,13.98,12.065980314602745,0.31857142857142856
26,SM36_micro001,8,-0.4462499999999996,-10.85,12.51,10.094794892843113,0.34125
27,SM36_micro002,7,-0.9,-3.22,0.38,1.4332596880305166,0.31857142857142856
28,SM36_micro003,7,0.7314285714285721,-10.71,12.51,10.293974659271038,0.31857142857142856
29,SM37_micro001,8,1.6199999999999999,-9.97,8.52,6.882929193716459,0.34125
30,SM37_micro002,7,0.904285714285714,-9.26,11.03,9.408242586765532,0.31857142857142856
31,SM37_micro003,7,-0.8671428571428572,-3.03,0.19,1.2708358704112068,0.31857142857142856
32,SM37_micro004,7,0.3157142857142857,-9.07,10.03,8.353298464564476,0.31857142857142856
33,SM37_micro005,7,3.158571428571428,-8.07,11.03,6.190507325929027,0.31857142857142856
34,SM38_micro001,8,-0.9562500000000009,-12.72,13.36,11.06602385360575,0.34125
35,SM39_micro001,8,-0.19125000000000014,-10.64,12.04,9.514467836630995,0.34125
36,SM40_micro001,8,-0.7437500000000001,-11.46,11.23,10.000479899199124,0.34125
37,SM40_micro002,7,5.018571428571429,-8.02,11.28,6.31042900964065,0.31857142857142856
38,SM41_micro001,8,-0.9637499999999999,-10.77,8.01,7.476247984689341,0.34125
39,SM41_micro002,7,5.471428571428572,-5.81,13.86,6.078249278017008,0.31857142857142856
40,SM42_micro001,8,-0.05249999999999977,-8.96,8.96,5.834605507536172,0.34125
41,SM42_micro002,7,3.025714285714286,-7.86,14.25,6.904338870456405,0.31857142857142856
42,SM42_micro003,3,-2.0066666666666664,-5.05,0.98,3.015399365479361,0.7433333333333333
43,SM43_micro001,8,-0.3900000000000002,-9.73,8.4,5.889387550016191,0.34125
44,SM43_micro002,7,1.4400000000000002,-8.0,9.14,7.501637598995746,0.31857142857142856
45,SM43_micro003,7,20.065714285714282,-15.89,44.39,22.05729573719533,0.31857142857142856
46,SM43_micro004,2,-3.645,-5.21,-2.08,2.2132442251138937,0.005
47,SM43_micro005,2,0.10999999999999999,-0.19,0.41,0.4242640687119285,0.005
48,SM44_micro001,8,-0.685,-9.39,9.64,8.464882076640441,0.34125
49,SM44_micro002,7,3.255714285714286,-6.67,7.47,4.691918076660678,0.31857142857142856
50,SM45_micro001,8,-0.6587500000000005,-10.72,10.02,8.71646461342802,0.34125
51,SM45_micro002,7,3.5285714285714285,-6.66,8.01,4.953320194816903,0.31857142857142856
52,SM46_micro001,8,-1.446250000000001,-13.38,8.19,8.82967389383258,0.34125
53,SM46_micro002,7,3.1757142857142857,-6.85,6.98,4.7154598826373135,0.31857142857142856
54,SM46_micro003,7,19.23428571428571,-16.23,46.3,21.260213903865015,0.31857142857142856
55,SM46_micro004,3,6.276666666666666,2.4,11.25,4.525774335219702,0.0033333333333333335
