,ID tag,prediction count,average FE prediction,min prediction,max prediction,prediction STD,average SEM
0,SM25_micro001,9,0.9122222222222223,-43.18,16.33,18.777589553626004,0.30333333333333334
1,SM25_micro002,8,-3.7925000000000004,-14.89,14.57,10.65947968443381,0.27875
2,SM25_micro003,8,-4.87375,-43.01,9.85,17.489143520236446,0.27875
3,SM25_micro004,2,-8.915,-12.08,-5.75,4.475985924910846,0.005
4,SM25_micro005,2,-0.8400000000000001,-2.33,0.65,2.107178207935912,0.005
5,SM26_micro001,9,-5.062222222222222,-44.64,7.85,15.980451165234493,0.30333333333333334
6,SM26_micro002,8,12.21625,-7.79,23.13,11.402219003960838,0.27875
7,SM26_micro003,8,-6.202499999999999,-47.33,32.35,26.67097606548576,0.27875
8,SM26_micro004,2,4.3,3.78,4.82,0.7353910524340099,0.005
9,SM26_micro005,2,8.145,6.34,9.95,2.5526554800834362,0.005
10,SM27_micro001,9,-5.9222222222222225,-43.92,16.78,18.531879139591982,0.30333333333333334
11,SM28_micro001,9,11.848888888888887,-14.41,28.41,15.739519087669454,0.30333333333333334
12,SM28_micro002,8,-4.9625,-37.72,21.92,20.87585396029175,0.27875
13,SM28_micro003,8,-2.91125,-52.79,9.38,20.620086904001433,0.27875
14,SM28_micro004,2,25.11,18.7,31.52,9.06510893481154,0.005
15,SM29_micro001,9,-5.5566666666666675,-43.67,15.65,18.110124240324804,0.30333333333333334
16,SM30_micro001,9,-5.609999999999999,-43.67,14.96,17.871318502002026,0.30333333333333334
17,SM31_micro001,9,-6.0377777777777775,-44.18,14.74,18.350394939740248,0.30333333333333334
18,SM31_micro002,3,-0.5600000000000002,-8.07,4.51,6.635457783755391,0.7433333333333333
19,SM32_micro001,9,-5.121111111111112,-38.82,16.25,17.018688583763176,0.30333333333333334
20,SM33_micro001,9,-5.316666666666667,-42.18,14.54,17.32172696355649,0.30333333333333334
21,SM34_micro001,9,-5.908888888888888,-42.68,14.81,17.861875912431795,0.30333333333333334
22,SM34_micro002,3,-0.8666666666666668,-8.05,4.37,6.434767543068929,0.7433333333333333
23,SM35_micro001,9,-5.103333333333333,-36.12,13.98,15.560104434096836,0.30333333333333334
24,SM35_micro002,8,-0.50375,-1.89,0.72,0.9855518758543358,0.27875
25,SM35_micro003,8,-5.338750000000001,-38.38,13.98,17.40776545724022,0.27875
26,SM36_micro001,9,-4.555555555555555,-37.43,12.51,15.528821680274964,0.30333333333333334
27,SM36_micro002,8,-0.7875,-3.22,0.38,1.3645590601258082,0.27875
28,SM36_micro003,8,-4.038749999999999,-37.43,12.51,16.518618445776355,0.27875
29,SM37_micro001,9,-4.038888888888889,-49.31,8.52,18.15654389224753,0.30333333333333334
30,SM37_micro002,8,-4.1937500000000005,-39.88,11.03,16.84606095331657,0.27875
31,SM37_micro003,8,-1.08125,-3.03,0.19,1.3232690850422568,0.27875
32,SM37_micro004,8,-4.70875,-39.88,10.03,16.17934789212117,0.27875
33,SM37_micro005,7,3.158571428571428,-8.07,11.03,6.190507325929027,0.31857142857142856
34,SM38_micro001,9,-4.978888888888889,-37.16,13.36,15.899194511393056,0.30333333333333334
35,SM39_micro001,9,-4.322222222222222,-37.37,12.04,15.257583178355752,0.30333333333333334
36,SM40_micro001,9,-4.805555555555555,-37.3,11.23,15.362056430627305,0.30333333333333334
37,SM40_micro002,8,-1.8012499999999996,-49.54,11.28,20.154712626862942,0.27875
38,SM41_micro001,9,-5.862222222222222,-45.05,8.01,16.274605047264416,0.30333333333333334
39,SM41_micro002,8,-0.44624999999999915,-41.87,13.86,17.65838605915857,0.27875
40,SM42_micro001,9,-4.802222222222222,-42.8,8.96,15.258638354861302,0.30333333333333334
41,SM42_micro002,8,-2.34,-39.9,14.25,16.467757241695924,0.27875
42,SM42_micro003,3,-2.0066666666666664,-5.05,0.98,3.015399365479361,0.7433333333333333
43,SM43_micro001,9,-5.173333333333334,-43.44,8.4,15.371134473421277,0.30333333333333334
44,SM43_micro002,8,-3.86,-40.96,9.14,16.5213601999697,0.27875
45,SM43_micro003,8,-2.431250000000002,-159.91,44.39,66.82759939629305,0.27875
46,SM43_micro004,2,-3.645,-5.21,-2.08,2.2132442251138937,0.005
47,SM43_micro005,2,0.10999999999999999,-0.19,0.41,0.4242640687119285,0.005
48,SM44_micro001,9,-5.48888888888889,-43.92,9.64,16.443648807704182,0.30333333333333334
49,SM44_micro002,8,-2.3075,-41.25,7.47,16.323726596583267,0.27875
50,SM45_micro001,9,-5.367777777777778,-43.04,10.02,16.311166250285247,0.30333333333333334
51,SM45_micro002,8,-1.9612500000000002,-40.39,8.01,16.190597304343918,0.27875
52,SM46_micro001,9,-6.250000000000001,-44.68,8.19,16.61029424784522,0.30333333333333334
53,SM46_micro002,8,-2.73,-44.07,6.98,17.26495707660876,0.27875
54,SM46_micro003,8,-3.575000000000003,-163.24,46.3,67.45023244691494,0.27875
55,SM46_micro004,3,6.276666666666666,2.4,11.25,4.525774335219702,0.0033333333333333335
