ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
42,1.0,1.0,1.0,1.0,1.0,1.0,0.06508135168961202,0.04881101376720901,0.08260325406758448,0.5,0.5,0.5,0.06508135168961202,0.04881101376720901,0.08260325406758448,0,0.0,0.0,747,733.0,760.0,52,39.0,66.0,0,0.0,0.0
40,0.15384615384615385,0.06382978723404255,0.25862068965517243,0.15384615384615385,0.06382978723404255,0.25862068965517243,0.06015037593984962,0.023076923076923078,0.1037037037037037,0.4932550715683246,0.44496434937611407,0.5473197278911565,0.7884856070087609,0.7584480600750939,0.8172715894868585,622,598.0,645.0,125,105.0,145.0,8,3.0,14.0,44,32.0,57.0
41,0.15384615384615385,0.06,0.25925925925925924,0.15384615384615385,0.06,0.25925925925925924,0.06015037593984962,0.022556390977443608,0.1037037037037037,0.4932550715683246,0.4439668577013639,0.5471156462585034,0.7884856070087609,0.7596996245306633,0.8160200250312891,622,599.0,645.0,125,105.0,145.0,8,3.0,14.0,44,32.0,57.0
53,0.11538461538461539,0.03571428571428571,0.20930232558139536,0.11538461538461539,0.03571428571428571,0.20930232558139536,0.075,0.023529411764705882,0.136986301369863,0.5081608485222943,0.4659188628661035,0.5564915400884446,0.8498122653316645,0.8247809762202754,0.8735919899874843,673,652.0,693.0,74,58.0,91.0,6,2.0,11.0,46,34.0,60.0
54,0.057692307692307696,0.0,0.1276595744680851,0.057692307692307696,0.0,0.1276595744680851,0.125,0.0,0.2727272727272727,0.5147899289465554,0.4861294583883752,0.5505740912367418,0.9123904881101377,0.8923654568210263,0.9311639549436797,726,710.0,742.0,21,13.0,30.0,3,0.0,7.0,49,36.0,63.0
45,0.038461538461538464,0.0,0.0975609756097561,0.038461538461538464,0.0,0.0975609756097561,0.047619047619047616,0.0,0.12195121951219512,0.49245700751724847,0.46949602122015915,0.5234548379937861,0.8873591989987485,0.8648310387984981,0.9086357947434293,707,689.0,724.0,40,29.0,52.0,2,0.0,5.0,50,37.0,64.0
51,0.038461538461538464,0.0,0.1,0.038461538461538464,0.0,0.1,0.044444444444444446,0.0,0.11363636363636363,0.4904489753887344,0.4672897196261682,0.52167325428195,0.8836045056320401,0.8598247809762203,0.904881101376721,704,685.0,721.0,43,31.0,56.0,2,0.0,5.0,50,37.0,64.0
46,0.019230769230769232,0.0,0.06521739130434782,0.019230769230769232,0.0,0.06521739130434782,0.02857142857142857,0.0,0.0967741935483871,0.486857687158892,0.47152317880794703,0.5106963450545644,0.8936170212765957,0.8710888610763454,0.9136420525657072,713,695.0,729.0,34,23.0,46.0,1,0.0,3.0,51,38.0,65.0
50,0.019230769230769232,0.0,0.06779661016949153,0.019230769230769232,0.0,0.06779661016949153,0.09090909090909091,0.0,0.3076923076923077,0.5029219441870044,0.49,0.5272966106588141,0.9236545682102628,0.904881101376721,0.9411764705882353,737,721.0,751.0,10,4.0,17.0,1,0.0,3.0,51,38.0,65.0
47,0.019230769230769232,0.0,0.06382978723404255,0.019230769230769232,0.0,0.06382978723404255,0.07692307692307693,0.0,0.25,0.5015832561013284,0.48820445609436436,0.5246595460614152,0.9211514392991239,0.9023779724655819,0.9399249061326659,735,720.0,750.0,12,6.0,19.0,1,0.0,3.0,51,38.0,65.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4886211512717537,0.4831081081081081,0.49337748344370863,0.9136420525657072,0.8936170212765957,0.932415519399249,730,714.0,745.0,17,10.0,25.0,0,0.0,0.0,52,39.0,66.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4819277108433735,0.4749322493224932,0.4880794701986755,0.9011264080100125,0.8798498122653317,0.9211514392991239,720,703.0,736.0,27,18.0,38.0,0,0.0,0.0,52,39.0,66.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4933065595716198,0.4887267904509284,0.4972972972972973,0.9224030037546934,0.9036295369211514,0.9399249061326659,737,722.0,751.0,10,4.0,17.0,0,0.0,0.0,52,39.0,66.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49464524765729584,0.4906166219839142,0.4980026631158455,0.9249061326658323,0.9061326658322904,0.9436795994993742,739,724.0,754.0,8,3.0,14.0,0,0.0,0.0,52,39.0,66.0
