ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
42,1.0,1.0,1.0,0.0,0.0,0.0,0.06851119894598155,0.05138339920948617,0.08695652173913043,0.5,0.5,0.5,0.06851119894598155,0.05138339920948617,0.08695652173913043,52,39.0,66.0,0,0.0,0.0,0,0.0,0.0,707,693.0,720.0
40,0.15384615384615385,0.06382978723404255,0.2619047619047619,0.826025459688826,0.7980225988700564,0.8537271448663853,0.061068702290076333,0.023622047244094488,0.10526315789473684,0.48993580676748993,0.44258407588387466,0.5449069458291791,0.7799736495388669,0.7509881422924901,0.8089591567852438,8,3.0,14.0,44,32.0,57.0,584,562.0,607.0,123,103.0,143.0
41,0.15384615384615385,0.06,0.2631578947368421,0.826025459688826,0.797752808988764,0.8532763532763533,0.061068702290076333,0.022900763358778626,0.10619469026548672,0.48993580676748993,0.4408457040035988,0.5458184847503125,0.7799736495388669,0.7496706192358367,0.8089591567852438,8,3.0,14.0,44,32.0,57.0,584,561.0,607.0,123,104.0,143.0
53,0.11538461538461539,0.037037037037037035,0.20833333333333334,0.8981612446958982,0.8755364806866953,0.919605077574048,0.07692307692307693,0.024390243902439025,0.14102564102564102,0.5067729300402568,0.46468531468531465,0.5550720815752461,0.8445322793148881,0.8181818181818182,0.8695652173913043,6,2.0,11.0,46,34.0,59.0,635,614.0,654.0,72,57.0,88.0
54,0.057692307692307696,0.0,0.12962962962962962,0.9702970297029703,0.9571428571428572,0.9817158931082982,0.125,0.0,0.2692307692307692,0.513994668697639,0.4847856154910097,0.5504089615931721,0.9077733860342556,0.8866930171277997,0.927536231884058,3,0.0,7.0,49,36.0,63.0,686,670.0,702.0,21,13.0,30.0
45,0.038461538461538464,0.0,0.1,0.9490806223479491,0.9322766570605188,0.9646393210749646,0.05263157894736842,0.0,0.13793103448275862,0.49377108040474377,0.47075606276747506,0.5257506053268765,0.8866930171277997,0.8629776021080369,0.9077733860342556,2,0.0,5.0,50,37.0,64.0,671,653.0,688.0,36,25.0,48.0
51,0.038461538461538464,0.0,0.09836065573770492,0.942008486562942,0.9245283018867925,0.9588068181818182,0.046511627906976744,0.0,0.11904761904761904,0.4902350125122402,0.46732954545454547,0.5213068181818181,0.8801054018445322,0.8563899868247694,0.9025032938076416,2,0.0,5.0,50,37.0,64.0,666,648.0,683.0,41,29.0,53.0
46,0.019230769230769232,0.0,0.06521739130434782,0.9575671852899575,0.942090395480226,0.9717514124293786,0.03225806451612903,0.0,0.1111111111111111,0.4883989772603634,0.47304964539007094,0.5123249299719889,0.8932806324110671,0.8708827404479579,0.9143610013175231,1,0.0,3.0,51,38.0,65.0,677,660.0,693.0,30,20.0,41.0
47,0.019230769230769232,0.0,0.06521739130434782,0.9844413012729845,0.9744680851063829,0.9929278642149929,0.08333333333333333,0.0,0.2857142857142857,0.5018360352518768,0.4886845827439887,0.5249784420810578,0.9183135704874835,0.8985507246376812,0.9367588932806324,1,0.0,3.0,51,38.0,65.0,696,681.0,710.0,11,5.0,18.0
50,0.019230769230769232,0.0,0.06521739130434782,0.9872701555869873,0.9785407725321889,0.9943899018232819,0.1,0.0,0.3333333333333333,0.5032504624088783,0.490154711673699,0.5263305322128852,0.9209486166007905,0.9011857707509882,0.9393939393939394,1,0.0,3.0,51,38.0,65.0,698,683.0,712.0,9,4.0,15.0
36,0.0,0.0,0.0,0.9886845827439887,0.9802538787023978,0.995768688293371,0.0,0.0,0.0,0.49434229137199437,0.4901269393511989,0.4978843441466855,0.9209486166007905,0.9011857707509882,0.9393939393939394,0,0.0,0.0,52,39.0,66.0,699,684.0,713.0,8,3.0,14.0
39,0.0,0.0,0.0,0.9886845827439887,0.9801699716713881,0.9957507082152974,0.0,0.0,0.0,0.49434229137199437,0.49008498583569404,0.4978753541076487,0.9209486166007905,0.9011857707509882,0.9393939393939394,0,0.0,0.0,52,39.0,66.0,699,684.0,713.0,8,3.0,14.0
48,0.0,0.0,0.0,0.9646393210749646,0.9507042253521126,0.9775280898876404,0.0,0.0,0.0,0.4823196605374823,0.4753521126760563,0.4887640449438202,0.8985507246376812,0.8774703557312253,0.919631093544137,0,0.0,0.0,52,39.0,66.0,682,666.0,698.0,25,16.0,35.0
49,0.0,0.0,0.0,0.9787835926449788,0.9676511954992968,0.9887165021156559,0.0,0.0,0.0,0.4893917963224894,0.4838255977496484,0.49435825105782794,0.9117259552042161,0.8906455862977603,0.9314888010540184,0,0.0,0.0,52,39.0,66.0,692,676.0,707.0,15,8.0,23.0
