ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
42,1.0,1.0,1.0,0.0535475234270415,0.03768506056527591,0.07057256990679095,0.06851119894598155,0.050870147255689425,0.08758169934640522,0.5267737617135207,0.5188425302826379,0.5352862849533955,0.11514392991239049,0.09386733416770963,0.13892365456821026,52,39.0,67.0,0,0.0,0.0,40,28.0,53.0,707,688.0,724.0
40,0.15384615384615385,0.061224489795918366,0.26,0.8353413654618473,0.8084815321477428,0.8619756427604871,0.061068702290076333,0.023255813953488372,0.10606060606060606,0.4945937596540006,0.446524064171123,0.5496086911749563,0.7909887359198998,0.7622027534418022,0.8197747183979975,8,3.0,14.0,44,32.0,57.0,624,601.0,647.0,123,103.0,143.0
41,0.15384615384615385,0.061224489795918366,0.25925925925925924,0.8353413654618473,0.8090040927694406,0.8617021276595744,0.061068702290076333,0.023255813953488372,0.10476190476190476,0.4945937596540006,0.44661224489795914,0.5484526967285588,0.7909887359198998,0.7634543178973717,0.818523153942428,8,3.0,14.0,44,32.0,57.0,624,601.0,647.0,123,103.0,143.0
53,0.11538461538461539,0.037037037037037035,0.21153846153846154,0.9036144578313253,0.8816489361702128,0.9238985313751669,0.07692307692307693,0.024390243902439025,0.14102564102564102,0.5094995366079703,0.4679305740987984,0.5580408163265307,0.8523153942428036,0.8272841051314143,0.8760951188986232,6,2.0,11.0,46,33.0,59.0,675,654.0,695.0,72,57.0,88.0
54,0.057692307692307696,0.0,0.13043478260869565,0.9718875502008032,0.9596231493943472,0.9836734693877551,0.125,0.0,0.2727272727272727,0.5147899289465554,0.4861294583883752,0.5513217623497997,0.9123904881101377,0.8923654568210263,0.9311639549436797,3,0.0,7.0,49,36.0,63.0,726,710.0,742.0,21,12.0,30.0
45,0.038461538461538464,0.0,0.1,0.9518072289156626,0.936141304347826,0.9665327978580991,0.05263157894736842,0.0,0.13636363636363635,0.4951343836886005,0.47265625,0.5262923351158646,0.8923654568210263,0.8710888610763454,0.9136420525657072,2,0.0,5.0,50,37.0,64.0,711,693.0,728.0,36,25.0,48.0
51,0.038461538461538464,0.0,0.1,0.9451137884872824,0.9282814614343707,0.9607577807848444,0.046511627906976744,0.0,0.12121212121212122,0.49178766347441044,0.46862483311081443,0.5229443135309438,0.886107634543179,0.8635794743429287,0.9073842302878599,2,0.0,5.0,50,37.0,64.0,706,688.0,724.0,41,29.0,54.0
46,0.019230769230769232,0.0,0.06557377049180328,0.9598393574297188,0.945260347129506,0.9732262382864793,0.03225806451612903,0.0,0.10810810810810811,0.48953506333024405,0.4746666666666667,0.5135125549723365,0.8986232790988736,0.8773466833541927,0.918648310387985,1,0.0,3.0,51,38.0,65.0,717,699.0,733.0,30,20.0,41.0
47,0.019230769230769232,0.0,0.06493506493506493,0.9852744310575636,0.9759679572763685,0.9933333333333333,0.08333333333333333,0.0,0.2857142857142857,0.5022526001441664,0.4892904953145917,0.5253271028037383,0.9224030037546934,0.9036295369211514,0.9411764705882353,1,0.0,3.0,51,38.0,65.0,736,721.0,751.0,11,5.0,18.0
50,0.019230769230769232,0.0,0.06349206349206349,0.9879518072289156,0.9797297297297297,0.9946949602122016,0.1,0.0,0.3333333333333333,0.5035912882298424,0.4907161803713528,0.5261438892233594,0.9249061326658323,0.9061326658322904,0.9424280350438048,1,0.0,3.0,51,38.0,65.0,738,723.0,752.0,9,4.0,15.0
36,0.0,0.0,0.0,0.9892904953145917,0.9812834224598931,0.9959946595460614,0.0,0.0,0.0,0.49464524765729584,0.49064171122994654,0.4979973297730307,0.9249061326658323,0.9061326658322904,0.9424280350438048,0,0.0,0.0,52,39.0,66.0,739,724.0,753.0,8,3.0,14.0
39,0.0,0.0,0.0,0.9892904953145917,0.9813084112149533,0.9959946595460614,0.0,0.0,0.0,0.49464524765729584,0.49065420560747663,0.4979973297730307,0.9249061326658323,0.9061326658322904,0.9424280350438048,0,0.0,0.0,52,39.0,66.0,739,724.0,753.0,8,3.0,14.0
48,0.0,0.0,0.0,0.9665327978580991,0.9530201342281879,0.9786666666666667,0.0,0.0,0.0,0.48326639892904955,0.47651006711409394,0.48933333333333334,0.9036295369211514,0.8823529411764706,0.9236545682102628,0,0.0,0.0,52,39.0,67.0,722,705.0,738.0,25,16.0,35.0
49,0.0,0.0,0.0,0.9799196787148594,0.9691689008042895,0.9892904953145917,0.0,0.0,0.0,0.4899598393574297,0.48458445040214476,0.49464524765729584,0.9161451814768461,0.8961201501877347,0.934918648310388,0,0.0,0.0,52,39.0,66.0,732,716.0,747.0,15,8.0,23.0
