ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
42,1.0,1.0,1.0,1.0,1.0,1.0,0.057571964956195244,0.0425531914893617,0.07384230287859825,0.5,0.5,0.5,0.057571964956195244,0.0425531914893617,0.07384230287859825,0,0.0,0.0,753,740.0,765.0,46,34.0,59.0,0,0.0,0.0
40,0.10869565217391304,0.024390243902439025,0.20930232558139536,0.10869565217391304,0.024390243902439025,0.20930232558139536,0.056818181818181816,0.012048192771084338,0.10975609756097561,0.49923494428084764,0.45673445328617746,0.5499325236167342,0.8448060075093867,0.818523153942428,0.869837296620776,670,649.0,690.0,83,66.0,100.0,5,1.0,10.0,41,29.0,53.0
41,0.10869565217391304,0.025,0.20930232558139536,0.10869565217391304,0.025,0.20930232558139536,0.056818181818181816,0.012195121951219513,0.1111111111111111,0.49923494428084764,0.45665329552527834,0.5513741496598639,0.8448060075093867,0.8197747183979975,0.869837296620776,670,650.0,690.0,83,67.0,100.0,5,1.0,10.0,41,29.0,54.0
53,0.10869565217391304,0.024390243902439025,0.20930232558139536,0.10869565217391304,0.024390243902439025,0.20930232558139536,0.0625,0.013513513513513514,0.12048192771084337,0.5045470292742075,0.4624092531069275,0.5548990835135413,0.8548185231539425,0.8297872340425532,0.8785982478097623,678,658.0,697.0,75,59.0,92.0,5,1.0,10.0,41,29.0,54.0
51,0.043478260869565216,0.0,0.1111111111111111,0.043478260869565216,0.0,0.1111111111111111,0.044444444444444446,0.0,0.11538461538461539,0.4931866735954732,0.46780551905387646,0.5283413606261288,0.8911138923654568,0.8685857321652065,0.9123904881101377,710,692.0,727.0,43,30.0,56.0,2,0.0,5.0,44,32.0,57.0
54,0.043478260869565216,0.0,0.11320754716981132,0.043478260869565216,0.0,0.11320754716981132,0.08333333333333333,0.0,0.21428571428571427,0.5071308967030429,0.4827814569536424,0.5429560860595344,0.9173967459324155,0.8973717146433041,0.9361702127659575,731,715.0,746.0,22,13.0,31.0,2,0.0,5.0,44,32.0,57.0
45,0.021739130434782608,0.0,0.07317073170731707,0.021739130434782608,0.0,0.07317073170731707,0.023809523809523808,0.0,0.08108108108108109,0.48364512962642187,0.46653279785809904,0.5106275033377837,0.8923654568210263,0.8710888610763454,0.9136420525657072,712,695.0,729.0,41,29.0,54.0,1,0.0,3.0,45,33.0,58.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4767596281540505,0.4688741721854305,0.4840213049267643,0.8986232790988736,0.8773466833541927,0.918648310387985,718,701.0,734.0,35,24.0,47.0,0,0.0,0.0,46,34.0,59.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48871181938911024,0.48313878080415046,0.4939839572192513,0.9211514392991239,0.9023779724655819,0.9399249061326659,736,721.0,751.0,17,9.0,25.0,0,0.0,0.0,46,34.0,59.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49269588313413015,0.4880794701986755,0.496684350132626,0.9286608260325406,0.9098873591989988,0.9461827284105131,742,727.0,756.0,11,5.0,18.0,0,0.0,0.0,46,33.0,59.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4820717131474104,0.4750337381916329,0.4886211512717537,0.9086357947434293,0.8886107634543179,0.9286608260325406,726,710.0,742.0,27,17.0,38.0,0,0.0,0.0,46,33.0,59.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4913678618857902,0.4864864864864865,0.4954068241469816,0.9261576971214017,0.9073842302878599,0.9436795994993742,740,725.0,754.0,13,7.0,20.0,0,0.0,0.0,46,34.0,59.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49335989375830014,0.489247311827957,0.49732262382864795,0.9299123904881101,0.9111389236545682,0.9474342928660826,743,728.0,757.0,10,4.0,16.0,0,0.0,0.0,46,34.0,59.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4946879150066401,0.49072847682119203,0.49801324503311256,0.932415519399249,0.9148936170212766,0.9499374217772215,745,731.0,759.0,8,3.0,14.0,0,0.0,0.0,46,34.0,59.0
