ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
42,1.0,1.0,1.0,0.05319148936170213,0.03795811518324607,0.06970509383378017,0.061923583662714096,0.045454545454545456,0.07942708333333333,0.526595744680851,0.518979057591623,0.5348525469168901,0.10888610763454318,0.08760951188986232,0.13141426783479349,47,34.0,60.0,0,0.0,0.0,40,29.0,52.0,712,694.0,729.0
40,0.10638297872340426,0.022727272727272728,0.20454545454545456,0.8922872340425532,0.870026525198939,0.9140211640211641,0.05813953488372093,0.012195121951219513,0.1125,0.49933510638297873,0.4571182478159222,0.5500173220162827,0.8460575719649562,0.8210262828535669,0.869837296620776,5,1.0,10.0,42,30.0,55.0,671,650.0,691.0,81,65.0,98.0
41,0.10638297872340426,0.023809523809523808,0.20408163265306123,0.8922872340425532,0.8693931398416886,0.9142480211081794,0.05813953488372093,0.012345679012345678,0.11235955056179775,0.49933510638297873,0.45744578158182636,0.548630343166767,0.8460575719649562,0.8210262828535669,0.8710888610763454,5,1.0,10.0,42,30.0,54.0,671,651.0,691.0,81,64.0,98.0
53,0.10638297872340426,0.023809523809523808,0.20408163265306123,0.9029255319148937,0.8817204301075269,0.9234899328859061,0.0641025641025641,0.0136986301369863,0.12222222222222222,0.504654255319149,0.4630928853754941,0.5545454545454546,0.8560700876095119,0.8310387984981227,0.8798498122653317,5,1.0,10.0,42,30.0,55.0,679,659.0,698.0,73,57.0,89.0
51,0.0425531914893617,0.0,0.10909090909090909,0.9454787234042553,0.9288537549407114,0.9612817089452603,0.046511627906976744,0.0,0.12195121951219512,0.4940159574468085,0.46907894736842104,0.5283319389922132,0.8923654568210263,0.8710888610763454,0.9123904881101377,2,0.0,5.0,45,33.0,58.0,711,693.0,728.0,41,29.0,54.0
54,0.0425531914893617,0.0,0.10869565217391304,0.9707446808510638,0.9583892617449664,0.9823609226594301,0.08333333333333333,0.0,0.21052631578947367,0.5066489361702128,0.48237597911227154,0.5401124783695443,0.9161451814768461,0.8961201501877347,0.934918648310388,2,0.0,5.0,45,33.0,58.0,730,714.0,745.0,22,14.0,31.0
45,0.02127659574468085,0.0,0.07142857142857142,0.9507978723404256,0.9345794392523364,0.9656084656084656,0.02631578947368421,0.0,0.08823529411764706,0.4860372340425532,0.4693333333333333,0.5126081890812251,0.8961201501877347,0.8748435544430538,0.9173967459324155,1,0.0,3.0,46,33.0,59.0,715,698.0,732.0,37,26.0,49.0
36,0.0,0.0,0.0,0.9893617021276596,0.9814077025232404,0.9960159362549801,0.0,0.0,0.0,0.4946808510638298,0.4907038512616202,0.49800796812749004,0.9311639549436797,0.9136420525657072,0.9486858573216521,0,0.0,0.0,47,35.0,60.0,744,730.0,758.0,8,3.0,14.0
39,0.0,0.0,0.0,0.9893617021276596,0.9814323607427056,0.996031746031746,0.0,0.0,0.0,0.4946808510638298,0.4907161803713528,0.498015873015873,0.9311639549436797,0.9136420525657072,0.9486858573216521,0,0.0,0.0,47,34.0,61.0,744,730.0,758.0,8,3.0,14.0
46,0.0,0.0,0.0,0.9587765957446809,0.9442231075697212,0.9723320158102767,0.0,0.0,0.0,0.47938829787234044,0.4721115537848606,0.48616600790513836,0.9023779724655819,0.8823529411764706,0.9224030037546934,0,0.0,0.0,47,34.0,61.0,721,705.0,737.0,31,21.0,42.0
47,0.0,0.0,0.0,0.9840425531914894,0.9746666666666667,0.9920634920634921,0.0,0.0,0.0,0.4920212765957447,0.48733333333333334,0.49603174603174605,0.9261576971214017,0.9073842302878599,0.9436795994993742,0,0.0,0.0,47,34.0,61.0,740,725.0,754.0,12,6.0,19.0
48,0.0,0.0,0.0,0.9667553191489362,0.9533954727030626,0.9788359788359788,0.0,0.0,0.0,0.4833776595744681,0.4766977363515313,0.4894179894179894,0.9098873591989988,0.8898623279098874,0.9286608260325406,0,0.0,0.0,47,35.0,60.0,727,711.0,742.0,25,16.0,35.0
49,0.0,0.0,0.0,0.9800531914893617,0.9694148936170213,0.9893758300132802,0.0,0.0,0.0,0.4900265957446808,0.48470744680851063,0.4946879150066401,0.9224030037546934,0.9036295369211514,0.9399249061326659,0,0.0,0.0,47,34.0,60.0,737,722.0,751.0,15,8.0,23.0
50,0.0,0.0,0.0,0.9867021276595744,0.9776315789473684,0.9946452476572959,0.0,0.0,0.0,0.4933510638297872,0.4888157894736842,0.49732262382864795,0.9286608260325406,0.9098873591989988,0.9461827284105131,0,0.0,0.0,47,34.0,61.0,742,727.0,756.0,10,4.0,17.0
