ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
36,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
39,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
40,0.0,0.0,0.0,0.9155672823218998,0.8955026455026455,0.9353562005277045,0.0,0.0,0.0,0.4577836411609499,0.44900662251655626,0.9314888010540184,0.9143610013175231,0.8932806324110671,0.9341238471673254,0,0.0,0.0,1,0.0,3.0,694,678.0,709.0,64,49.0,79.0
41,0.0,0.0,0.0,0.9155672823218998,0.8956406869220608,0.9353562005277045,0.0,0.0,0.0,0.4577836411609499,0.44854881266490765,0.930171277997365,0.9143610013175231,0.8945981554677207,0.9341238471673254,0,0.0,0.0,1,0.0,3.0,694,679.0,709.0,64,49.0,79.0
42,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
45,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
46,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
47,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
48,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
49,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
50,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
51,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
53,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
54,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9986824769433466,0.9960474308300395,1.0,0,0.0,0.0,1,0.0,3.0,758,756.0,759.0,0,0.0,0.0
