ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
42,1.0,1.0,1.0,1.0,1.0,1.0,0.06508135168961202,0.04881101376720901,0.08260325406758448,0.5,0.5,0.5,0.06508135168961202,0.04881101376720901,0.08260325406758448,0,0.0,0.0,747,733.0,760.0,52,39.0,66.0,0,0.0,0.0
33,0.28846153846153844,0.16666666666666666,0.4186046511627907,0.28846153846153844,0.16666666666666666,0.4186046511627907,0.05102040816326531,0.02711864406779661,0.0781758957654723,0.457483781278962,0.3942993197278911,0.5245183624322697,0.60450563204005,0.5707133917396746,0.639549436795995,468,440.0,496.0,279,253.0,306.0,15,8.0,23.0,37,26.0,49.0
40,0.15384615384615385,0.06060606060606061,0.25925925925925924,0.15384615384615385,0.06060606060606061,0.25925925925925924,0.06015037593984962,0.023076923076923078,0.104,0.4932550715683246,0.44575163398692813,0.5470797068254696,0.7884856070087609,0.7596996245306633,0.8160200250312891,622,599.0,645.0,125,105.0,145.0,8,3.0,14.0,44,32.0,57.0
41,0.15384615384615385,0.06,0.25862068965517243,0.15384615384615385,0.06,0.25862068965517243,0.06015037593984962,0.022556390977443608,0.10273972602739725,0.4932550715683246,0.4441489361702128,0.5465686274509804,0.7884856070087609,0.7596996245306633,0.8160200250312891,622,598.0,645.0,125,106.0,146.0,8,3.0,14.0,44,32.0,57.0
56,0.1346153846153846,0.04878048780487805,0.23529411764705882,0.1346153846153846,0.04878048780487805,0.23529411764705882,0.08433734939759036,0.0273972602739726,0.1506849315068493,0.5164375450520029,0.4716685123661868,0.5679305740987983,0.8485607008760951,0.8235294117647058,0.8735919899874843,671,650.0,691.0,76,60.0,93.0,7,2.0,13.0,45,33.0,58.0
35,0.11538461538461539,0.03773584905660377,0.20967741935483872,0.11538461538461539,0.03773584905660377,0.20967741935483872,0.08108108108108109,0.025974025974025976,0.14925373134328357,0.5121769127793224,0.47105654761904764,0.559569972657221,0.8573216520650814,0.8322903629536921,0.8811013767209012,679,659.0,698.0,68,53.0,84.0,6,2.0,11.0,46,34.0,59.0
53,0.11538461538461539,0.03636363636363636,0.20833333333333334,0.11538461538461539,0.03636363636363636,0.20833333333333334,0.075,0.024096385542168676,0.1388888888888889,0.5081608485222943,0.4671824344238137,0.5558510638297872,0.8498122653316645,0.8247809762202754,0.8748435544430538,673,653.0,693.0,74,58.0,90.0,6,2.0,11.0,46,33.0,59.0
55,0.09615384615384616,0.02127659574468085,0.18181818181818182,0.09615384615384616,0.02127659574468085,0.18181818181818182,0.05263157894736842,0.011235955056179775,0.10126582278481013,0.48783595922150136,0.4499977786663113,0.5331509089765365,0.8285356695869838,0.8022528160200251,0.853566958698373,657,636.0,678.0,90,73.0,108.0,5,1.0,10.0,47,34.0,61.0
52,0.07692307692307693,0.017241379310344827,0.15789473684210525,0.07692307692307693,0.017241379310344827,0.15789473684210525,0.1,0.022222222222222223,0.20512820512820512,0.5143651529193698,0.4808707124010554,0.5554285714285714,0.8948685857321652,0.8735919899874843,0.9161451814768461,711,693.0,728.0,36,25.0,48.0,4,1.0,8.0,48,35.0,62.0
54,0.057692307692307696,0.0,0.13114754098360656,0.057692307692307696,0.0,0.13114754098360656,0.125,0.0,0.27586206896551724,0.5147899289465554,0.4859625668449198,0.552211632453568,0.9123904881101377,0.8923654568210263,0.9311639549436797,726,710.0,742.0,21,13.0,30.0,3,0.0,7.0,49,36.0,63.0
45,0.038461538461538464,0.0,0.09803921568627451,0.038461538461538464,0.0,0.09803921568627451,0.047619047619047616,0.0,0.12195121951219512,0.49245700751724847,0.4693333333333333,0.5231729055258467,0.8873591989987485,0.8648310387984981,0.9086357947434293,707,689.0,724.0,40,29.0,53.0,2,0.0,5.0,50,37.0,64.0
