ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
42,1.0,1.0,1.0,0.0,0.0,0.0,0.06851119894598155,0.05138339920948617,0.08695652173913043,0.5,0.5,0.5,0.06851119894598155,0.05138339920948617,0.08695652173913043,52,39.0,66.0,0,0.0,0.0,0,0.0,0.0,707,693.0,720.0
33,0.28846153846153844,0.16666666666666666,0.41509433962264153,0.628005657708628,0.5926966292134831,0.6638176638176638,0.0539568345323741,0.02867383512544803,0.08214285714285714,0.45823359808508324,0.39486638537271446,0.5240857946554149,0.6047430830039525,0.5704874835309618,0.6403162055335968,15,8.0,23.0,37,26.0,49.0,444,418.0,471.0,263,237.0,289.0
40,0.15384615384615385,0.0625,0.26,0.826025459688826,0.7979942693409742,0.8535211267605634,0.061068702290076333,0.0234375,0.10483870967741936,0.48993580676748993,0.44184147180192573,0.5440340909090908,0.7799736495388669,0.7496706192358367,0.8089591567852438,8,3.0,14.0,44,32.0,57.0,584,561.0,607.0,123,103.0,143.0
41,0.15384615384615385,0.06,0.25925925925925924,0.826025459688826,0.7977369165487977,0.8544668587896254,0.061068702290076333,0.023076923076923078,0.1056338028169014,0.48993580676748993,0.44118146613221004,0.5451716899085319,0.7799736495388669,0.7509881422924901,0.8102766798418972,8,3.0,14.0,44,32.0,57.0,584,561.0,607.0,123,103.0,143.0
56,0.1346153846153846,0.046511627906976744,0.23529411764705882,0.8953323903818954,0.8722222222222222,0.9177304964539007,0.08641975308641975,0.028169014084507043,0.1518987341772152,0.51497388749864,0.4696217494089835,0.5661652703731912,0.8432147562582345,0.8168642951251647,0.8682476943346509,7,2.0,13.0,45,33.0,58.0,633,613.0,653.0,74,58.0,90.0
35,0.11538461538461539,0.037037037037037035,0.20833333333333334,0.9052333804809052,0.8833333333333333,0.926241134751773,0.0821917808219178,0.025974025974025976,0.1506849315068493,0.5103089979327603,0.4685846384093217,0.558392101551481,0.8511198945981555,0.8260869565217391,0.8761528326745718,6,2.0,11.0,46,33.0,59.0,640,620.0,659.0,67,52.0,83.0
53,0.11538461538461539,0.037037037037037035,0.20967741935483872,0.8981612446958982,0.8755304101838756,0.920114122681883,0.07692307692307693,0.024390243902439025,0.14285714285714285,0.5067729300402568,0.46487603305785125,0.5554891412631998,0.8445322793148881,0.8181818181818182,0.8695652173913043,6,2.0,11.0,46,34.0,59.0,635,615.0,655.0,72,57.0,88.0
55,0.09615384615384616,0.02127659574468085,0.18518518518518517,0.8727015558698727,0.8469241773962805,0.8969359331476323,0.05263157894736842,0.010869565217391304,0.10126582278481013,0.48442770101185945,0.4453293091082955,0.5297025589896975,0.8194993412384717,0.7918313570487484,0.8458498023715415,5,1.0,10.0,47,35.0,60.0,617,596.0,638.0,90,73.0,108.0
52,0.07692307692307693,0.017241379310344827,0.15555555555555556,0.9490806223479491,0.9325842696629213,0.9646393210749646,0.1,0.022222222222222223,0.2,0.513001849635513,0.4798707934885758,0.5532016925246827,0.8893280632411067,0.8669301712779973,0.9104084321475626,4,1.0,8.0,48,35.0,62.0,671,654.0,688.0,36,25.0,48.0
54,0.057692307692307696,0.0,0.1276595744680851,0.9702970297029703,0.9573863636363636,0.9827833572453372,0.125,0.0,0.2727272727272727,0.513994668697639,0.4851694915254237,0.5497848434138178,0.9077733860342556,0.8866930171277997,0.927536231884058,3,0.0,7.0,49,36.0,63.0,686,670.0,702.0,21,12.0,30.0
45,0.038461538461538464,0.0,0.09836065573770492,0.9490806223479491,0.9324894514767933,0.9647390691114246,0.05263157894736842,0.0,0.13333333333333333,0.49377108040474377,0.4707142857142857,0.5244755244755245,0.8866930171277997,0.8642951251646904,0.9090909090909091,2,0.0,5.0,50,37.0,64.0,671,653.0,688.0,36,25.0,48.0
51,0.038461538461538464,0.0,0.1,0.942008486562942,0.9243697478991597,0.9586305278174037,0.046511627906976744,0.0,0.11904761904761904,0.4902350125122402,0.4669943820224719,0.5213719631025074,0.8801054018445322,0.857707509881423,0.9025032938076416,2,0.0,5.0,50,37.0,64.0,666,648.0,683.0,41,29.0,53.0
38,0.019230769230769232,0.0,0.06451612903225806,0.8642149929278642,0.8385269121813032,0.8890469416785206,0.010309278350515464,0.0,0.034482758620689655,0.44172288107931673,0.4221598877980365,0.46732954545454547,0.8063241106719368,0.7786561264822134,0.8326745718050066,1,0.0,3.0,51,38.0,65.0,611,590.0,632.0,96,78.0,114.0
44,0.019230769230769232,0.0,0.06521739130434782,0.9603960396039604,0.9451476793248945,0.974025974025974,0.034482758620689655,0.0,0.11764705882352941,0.4898134044173648,0.47464788732394364,0.5140964335525006,0.8959156785243741,0.8735177865612648,0.9169960474308301,1,0.0,3.0,51,38.0,65.0,679,662.0,695.0,28,18.0,39.0
46,0.019230769230769232,0.0,0.06521739130434782,0.9575671852899575,0.9418439716312057,0.9718706047819972,0.03225806451612903,0.0,0.10714285714285714,0.4883989772603634,0.4731101751274662,0.5116310892172962,0.8932806324110671,0.8708827404479579,0.9143610013175231,1,0.0,3.0,51,38.0,65.0,677,660.0,694.0,30,20.0,41.0
47,0.019230769230769232,0.0,0.06521739130434782,0.9844413012729845,0.9746121297602257,0.9929378531073446,0.08333333333333333,0.0,0.2857142857142857,0.5018360352518768,0.4886845827439887,0.5250634696755995,0.9183135704874835,0.8985507246376812,0.9380764163372859,1,0.0,3.0,51,38.0,65.0,696,681.0,710.0,11,5.0,18.0
50,0.019230769230769232,0.0,0.06521739130434782,0.9872701555869873,0.9785407725321889,0.9943977591036415,0.1,0.0,0.3333333333333333,0.5032504624088783,0.4902097902097902,0.5270305907172996,0.9209486166007905,0.9011857707509882,0.9393939393939394,1,0.0,3.0,51,38.0,65.0,698,683.0,712.0,9,4.0,15.0
36,0.0,0.0,0.0,0.9886845827439887,0.980225988700565,0.9957627118644068,0.0,0.0,0.0,0.49434229137199437,0.4901129943502825,0.4978813559322034,0.9209486166007905,0.9011857707509882,0.9393939393939394,0,0.0,0.0,52,39.0,66.0,699,684.0,713.0,8,3.0,14.0
37,0.0,0.0,0.0,0.9844413012729845,0.9744680851063829,0.9929577464788732,0.0,0.0,0.0,0.49222065063649223,0.48723404255319147,0.4964788732394366,0.9169960474308301,0.8972332015810277,0.9367588932806324,0,0.0,0.0,52,39.0,66.0,696,681.0,711.0,11,5.0,18.0
39,0.0,0.0,0.0,0.9886845827439887,0.9801699716713881,0.9957627118644068,0.0,0.0,0.0,0.49434229137199437,0.49008498583569404,0.4978813559322034,0.9209486166007905,0.9011857707509882,0.9393939393939394,0,0.0,0.0,52,39.0,66.0,699,684.0,713.0,8,3.0,14.0
43,0.0,0.0,0.0,0.942008486562942,0.923836389280677,0.9587482219061166,0.0,0.0,0.0,0.471004243281471,0.4619181946403385,0.4793741109530583,0.8774703557312253,0.8537549407114624,0.9011857707509882,0,0.0,0.0,52,39.0,66.0,666,648.0,684.0,41,29.0,54.0
48,0.0,0.0,0.0,0.9646393210749646,0.950354609929078,0.9774647887323944,0.0,0.0,0.0,0.4823196605374823,0.475177304964539,0.4887323943661972,0.8985507246376812,0.8761528326745718,0.919631093544137,0,0.0,0.0,52,39.0,66.0,682,665.0,698.0,25,16.0,35.0
49,0.0,0.0,0.0,0.9787835926449788,0.9674220963172805,0.9887165021156559,0.0,0.0,0.0,0.4893917963224894,0.48371104815864024,0.49435825105782794,0.9117259552042161,0.8906455862977603,0.9314888010540184,0,0.0,0.0,52,39.0,66.0,692,676.0,707.0,15,8.0,23.0
