ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
42,1.0,1.0,1.0,0.0535475234270415,0.037786774628879895,0.07029177718832891,0.06851119894598155,0.050734312416555405,0.0870712401055409,0.5267737617135207,0.5188933873144399,0.5351458885941645,0.11514392991239049,0.09386733416770963,0.1376720901126408,52,39.0,66.0,0,0.0,0.0,40,28.0,52.0,707,689.0,724.0
33,0.28846153846153844,0.16981132075471697,0.4166666666666667,0.6479250334672021,0.6138211382113821,0.6822429906542056,0.0539568345323741,0.02909090909090909,0.08243727598566308,0.46819328596437026,0.40514036839769196,0.5343960863697705,0.6245306633291614,0.590738423028786,0.6595744680851063,15,8.0,23.0,37,26.0,49.0,484,457.0,511.0,263,237.0,289.0
40,0.15384615384615385,0.06,0.26,0.8353413654618473,0.8081632653061225,0.8611481975967957,0.061068702290076333,0.022900763358778626,0.10638297872340426,0.4945937596540006,0.4459455782312925,0.5494254864599573,0.7909887359198998,0.7634543178973717,0.818523153942428,8,3.0,14.0,44,32.0,57.0,624,601.0,646.0,123,104.0,144.0
41,0.15384615384615385,0.06382978723404255,0.25925925925925924,0.8353413654618473,0.8088235294117647,0.8615179760319573,0.061068702290076333,0.023809523809523808,0.10483870967741936,0.4945937596540006,0.4474734042553191,0.5485739750445633,0.7909887359198998,0.7622027534418022,0.818523153942428,8,3.0,14.0,44,32.0,57.0,624,601.0,646.0,123,103.0,143.0
56,0.1346153846153846,0.05,0.23636363636363636,0.9009370816599732,0.8791946308724832,0.9219380888290714,0.08641975308641975,0.030303030303030304,0.15384615384615385,0.517776233137679,0.4739455782312925,0.5692790387182911,0.851063829787234,0.8260325406758448,0.8748435544430538,7,2.0,13.0,45,33.0,58.0,673,653.0,693.0,74,58.0,90.0
35,0.11538461538461539,0.038461538461538464,0.20930232558139536,0.9103078982597055,0.8896276595744681,0.9299867899603699,0.0821917808219178,0.02702702702702703,0.14925373134328357,0.5128462568221605,0.4720744680851064,0.560907718437441,0.8585732165206508,0.8347934918648311,0.8823529411764706,6,2.0,11.0,46,34.0,59.0,680,660.0,699.0,67,52.0,83.0
53,0.11538461538461539,0.03636363636363636,0.20967741935483872,0.9036144578313253,0.8815612382234186,0.924119241192412,0.07692307692307693,0.023809523809523808,0.14130434782608695,0.5094995366079703,0.46727636849132176,0.5574198359433259,0.8523153942428036,0.8272841051314143,0.8760951188986232,6,2.0,11.0,46,34.0,59.0,675,655.0,694.0,72,57.0,89.0
55,0.09615384615384616,0.02040816326530612,0.18518518518518517,0.8795180722891566,0.8554533508541393,0.9023746701846965,0.05263157894736842,0.01098901098901099,0.10101010101010101,0.48783595922150136,0.44911198073449726,0.5338114109580424,0.8285356695869838,0.8010012515644556,0.853566958698373,5,1.0,10.0,47,34.0,60.0,657,635.0,678.0,90,73.0,108.0
52,0.07692307692307693,0.017241379310344827,0.1568627450980392,0.9518072289156626,0.9358288770053476,0.9666221628838452,0.1,0.022727272727272728,0.2,0.5143651529193698,0.481071339796172,0.554702300405954,0.8948685857321652,0.8723404255319149,0.9161451814768461,4,1.0,8.0,48,35.0,62.0,711,693.0,728.0,36,25.0,48.0
54,0.057692307692307696,0.0,0.12962962962962962,0.9718875502008032,0.9597855227882037,0.9827127659574468,0.125,0.0,0.2777777777777778,0.5147899289465554,0.4860742705570292,0.551181757656458,0.9123904881101377,0.8923654568210263,0.9311639549436797,3,0.0,7.0,49,36.0,63.0,726,710.0,742.0,21,13.0,30.0
45,0.038461538461538464,0.0,0.1,0.9518072289156626,0.9359145527369827,0.9663978494623656,0.05263157894736842,0.0,0.13513513513513514,0.4951343836886005,0.4724047306176084,0.5261179538393254,0.8923654568210263,0.869837296620776,0.9136420525657072,2,0.0,5.0,50,37.0,64.0,711,693.0,728.0,36,25.0,48.0
51,0.038461538461538464,0.0,0.09836065573770492,0.9451137884872824,0.9281914893617021,0.9607577807848444,0.046511627906976744,0.0,0.11904761904761904,0.49178766347441044,0.46875,0.5224081886714158,0.886107634543179,0.8635794743429287,0.9073842302878599,2,0.0,5.0,50,37.0,64.0,706,688.0,723.0,41,29.0,54.0
38,0.019230769230769232,0.0,0.06521739130434782,0.8714859437751004,0.8469656992084432,0.8953020134228188,0.010309278350515464,0.0,0.03409090909090909,0.4453583565029348,0.42639257294429705,0.47038479157123225,0.8160200250312891,0.7884856070087609,0.8423028785982478,1,0.0,3.0,51,38.0,65.0,651,629.0,672.0,96,78.0,114.0
