ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
38,1.0,1.0,1.0,0.0014044943820224719,0.0,0.004261363636363636,0.06200527704485488,0.0461133069828722,0.079155672823219,0.5007022471910112,0.5,0.5021306818181818,0.06324110671936758,0.0461133069828722,0.08036890645586298,47,35.0,60.0,0,0.0,0.0,1,0.0,3.0,711,698.0,724.0
42,1.0,1.0,1.0,0.0,0.0,0.0,0.061923583662714096,0.04479578392621871,0.07905138339920949,0.5,0.5,0.5,0.061923583662714096,0.04479578392621871,0.07905138339920949,47,34.0,60.0,0,0.0,0.0,0,0.0,0.0,712,699.0,725.0
40,0.10638297872340426,0.023809523809523808,0.2037037037037037,0.8862359550561798,0.862116991643454,0.9094707520891365,0.05813953488372093,0.012345679012345678,0.1125,0.49630946688979205,0.45445852259144154,0.5467329545454546,0.8379446640316206,0.8102766798418972,0.8642951251646904,5,1.0,10.0,42,30.0,55.0,631,611.0,651.0,81,64.0,98.0
41,0.10638297872340426,0.023809523809523808,0.20454545454545456,0.8862359550561798,0.8622159090909091,0.9087136929460581,0.05813953488372093,0.0125,0.11363636363636363,0.49630946688979205,0.4547058823529412,0.5471488178025035,0.8379446640316206,0.8115942028985508,0.8629776021080369,5,1.0,10.0,42,30.0,55.0,631,610.0,650.0,81,65.0,98.0
53,0.10638297872340426,0.023809523809523808,0.2037037037037037,0.8974719101123596,0.8741159830268741,0.9190340909090909,0.0641025641025641,0.013513513513513514,0.12371134020618557,0.501927444417882,0.4596532702915682,0.5516583065059519,0.8484848484848485,0.8221343873517787,0.8735177865612648,5,1.0,10.0,42,30.0,55.0,639,618.0,659.0,73,58.0,90.0
55,0.10638297872340426,0.023809523809523808,0.2037037037037037,0.8820224719101124,0.8579387186629527,0.9047619047619048,0.056179775280898875,0.011904761904761904,0.10752688172043011,0.49420272531675835,0.45229568656796193,0.5434782608695652,0.83399209486166,0.8063241106719368,0.8603425559947299,5,1.0,10.0,42,30.0,55.0,628,607.0,648.0,84,68.0,101.0
33,0.0851063829787234,0.019230769230769232,0.175,0.9030898876404494,0.8806818181818182,0.9242636746143057,0.0547945205479452,0.0125,0.11475409836065574,0.4940981353095864,0.4568181818181818,0.5407876487334842,0.852437417654809,0.8274044795783926,0.8774703557312253,4,1.0,8.0,43,31.0,56.0,643,623.0,662.0,69,54.0,85.0
56,0.0851063829787234,0.018518518518518517,0.175,0.9157303370786517,0.8952513966480447,0.9356643356643357,0.0625,0.013888888888888888,0.12857142857142856,0.5004183600286876,0.4627503526093089,0.5459538190175851,0.8642951251646904,0.839262187088274,0.8880105401844532,4,1.0,8.0,43,31.0,56.0,652,633.0,670.0,60,46.0,75.0
52,0.06382978723404255,0.0,0.14583333333333334,0.9480337078651685,0.9307909604519774,0.9637377963737797,0.075,0.0,0.16666666666666666,0.5059317475496056,0.4736706183284963,0.5477186690575812,0.8932806324110671,0.8708827404479579,0.9156785243741765,3,0.0,7.0,44,31.0,57.0,675,658.0,692.0,37,26.0,49.0
51,0.0425531914893617,0.0,0.10869565217391304,0.9424157303370787,0.924791086350975,0.958981612446959,0.046511627906976744,0.0,0.11904761904761904,0.4924844609132202,0.46722454672245467,0.5275443510737629,0.8866930171277997,0.8642951251646904,0.9090909090909091,2,0.0,5.0,45,33.0,58.0,671,654.0,688.0,41,29.0,54.0
