ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
38,1.0,1.0,1.0,0.05452127659574468,0.038821954484605084,0.07142857142857142,0.06200527704485488,0.04539385847797063,0.08015768725361366,0.5272606382978724,0.5194109772423026,0.5357142857142857,0.11013767209011265,0.08886107634543179,0.13266583229036297,47,34.0,61.0,0,0.0,0.0,41,29.0,54.0,711,693.0,728.0
42,1.0,1.0,1.0,0.05319148936170213,0.03795811518324607,0.06938775510204082,0.061923583662714096,0.04581151832460733,0.0796812749003984,0.526595744680851,0.518979057591623,0.5346938775510204,0.10888610763454318,0.08760951188986232,0.13016270337922403,47,35.0,60.0,0,0.0,0.0,40,28.0,52.0,712,695.0,729.0
40,0.10638297872340426,0.023809523809523808,0.20454545454545456,0.8922872340425532,0.8695073235685752,0.9144385026737968,0.05813953488372093,0.012345679012345678,0.1125,0.49933510638297873,0.45758140691026594,0.5489528795811518,0.8460575719649562,0.8197747183979975,0.8710888610763454,5,1.0,10.0,42,30.0,55.0,671,650.0,691.0,81,64.0,98.0
41,0.10638297872340426,0.023255813953488372,0.20408163265306123,0.8922872340425532,0.8696808510638298,0.9137931034482759,0.05813953488372093,0.012195121951219513,0.11224489795918367,0.49933510638297873,0.4572630173564753,0.5485372340425532,0.8460575719649562,0.8210262828535669,0.869837296620776,5,1.0,10.0,42,30.0,55.0,671,651.0,691.0,81,65.0,98.0
53,0.10638297872340426,0.023255813953488372,0.20454545454545456,0.9029255319148937,0.8813333333333333,0.9240837696335078,0.0641025641025641,0.013513513513513514,0.125,0.504654255319149,0.4626421848836538,0.5546849861638458,0.8560700876095119,0.8322903629536921,0.8798498122653317,5,1.0,10.0,42,30.0,55.0,679,659.0,698.0,73,57.0,89.0
55,0.10638297872340426,0.023809523809523808,0.20408163265306123,0.8882978723404256,0.8659517426273459,0.91005291005291,0.056179775280898875,0.011764705882352941,0.10810810810810811,0.49734042553191493,0.45480725915438575,0.5473058398555087,0.8423028785982478,0.8172715894868585,0.867334167709637,5,1.0,10.0,42,30.0,55.0,668,648.0,688.0,84,68.0,101.0
33,0.0851063829787234,0.019230769230769232,0.17391304347826086,0.9082446808510638,0.886968085106383,0.9281914893617021,0.0547945205479452,0.0125,0.11392405063291139,0.4966755319148936,0.45992115637319314,0.5420102180181092,0.8598247809762203,0.8347934918648311,0.8836045056320401,4,1.0,8.0,43,31.0,56.0,683,663.0,702.0,69,54.0,85.0
56,0.0851063829787234,0.019230769230769232,0.17391304347826086,0.9202127659574468,0.9007936507936508,0.9393139841688655,0.0625,0.014084507042253521,0.12903225806451613,0.5026595744680851,0.46585993078254184,0.5480470483799379,0.8710888610763454,0.8473091364205256,0.8936170212765957,4,1.0,8.0,43,31.0,56.0,692,673.0,710.0,60,46.0,75.0
52,0.06382978723404255,0.0,0.14285714285714285,0.9507978723404256,0.9350473612990527,0.9656084656084656,0.075,0.0,0.16666666666666666,0.507313829787234,0.4755291005291005,0.5471639726226882,0.8986232790988736,0.8773466833541927,0.918648310387985,3,0.0,7.0,44,32.0,57.0,715,698.0,732.0,37,26.0,49.0
51,0.0425531914893617,0.0,0.1111111111111111,0.9454787234042553,0.9289473684210526,0.9612299465240641,0.046511627906976744,0.0,0.11904761904761904,0.4940159574468085,0.46879150066401065,0.5277162544604406,0.8923654568210263,0.8710888610763454,0.9136420525657072,2,0.0,5.0,45,33.0,58.0,711,693.0,728.0,41,29.0,54.0
