,Fragment ID,Smiles,Site 1,MolWt,LogP,HBond donors,HBond acceptors,RO5,Rings,Rotatable bonds,TPSA
4,F5,BrC1=CC(OC)=C(CC(O)=O)C=C1,True,243.973506248,2.0848,1,2,True,1,3,46.53
10,F11,BrC1=CC=NC2=NC=CC=C21,True,207.96361026,2.3922999999999996,0,2,True,2,0,25.78
12,F13,BrC1=CN(CCO)N=C1,True,189.974174944,0.6378999999999999,1,3,True,1,2,38.05
13,F14,BrC1=CN(CCOC)N=C1,True,203.989825008,1.2919999999999998,0,3,True,1,3,27.05
94,F95,CC(=O)NCC=1C=CC(=CC1)S(=O)(=O)N,True,228.056863244,-0.029899999999999927,2,3,True,1,3,89.26
95,F96,CC(=O)NCC=1C=NNC1,True,139.074561908,0.045799999999999674,2,2,True,1,2,57.78
125,F126,CC(C)C=1N=CC(Cl)=C(N1)C(=O)N,True,199.05123962,1.3522999999999998,1,3,True,1,2,68.87
178,F179,CC(O)C=1C=NN(C1)C2CCCC2,True,180.126263132,2.0515,1,3,True,2,2,38.050000000000004
198,F199,CC1=CC(=NO1)C(=O)NC=2C=NN(C)C2,True,206.08037556,0.9688199999999998,1,5,True,2,2,72.95000000000002
204,F205,CC1=CC=C(N)C(=O)N1C,True,138.07931294,0.27591999999999983,1,3,True,1,0,48.02
216,F217,CC1=NC=2C=CC=CC2N1CCC(=O)N,True,203.105862036,1.2201199999999999,1,3,True,2,3,60.91
228,F229,CC1=NNC=C1CNC=2C=CC=CC2F,True,205.101525604,2.4693200000000006,2,2,True,2,3,40.71
273,F274,CC=1C=C(CN2N=C(C)C=CC2=O)ON1,True,205.085126592,0.8964399999999999,0,5,True,2,2,60.92
274,F275,CC=1C=C(F)C=C(C1)S(=O)(=O)N,True,189.025977716,0.78152,1,2,True,1,1,60.16
308,F309,CC=1C=CSC1C(=O)O,True,142.008850432,1.75472,1,2,True,1,1,37.3
361,F362,CCN(CC)C1=CC(C)=NC2=NC=NN12,True,205.13274547999998,1.2789199999999998,0,5,True,2,3,46.32000000000001
365,F366,CCN1C=C(CCO)C=N1,True,140.094963004,0.4378,1,3,True,1,3,38.05
366,F367,CCN1C=C(CNC(=O)C=2C=CC=NC2)C=N1,True,230.116761068,1.228,1,4,True,2,4,59.81
367,F368,CCN1C=C(NC(=O)C2CCC2)C=N1,True,193.1215121,1.6415999999999997,1,3,True,2,3,46.92
368,F369,CCN1C=C(NC(=O)C2CCCC2)C=N1,True,207.137162164,2.0317,1,3,True,2,3,46.92
373,F374,CCNC(=O)C1=CNN=N1,True,140.069810876,-0.44560000000000016,2,3,True,1,2,70.67
388,F389,CCOC(=O)C=1C=NNC1,True,140.058577496,0.5864,1,3,True,1,2,54.98
392,F393,CCOC(=O)N1CCOCC1,True,159.089543276,0.4751000000000001,0,3,True,1,1,38.769999999999996
399,F400,CCOC=1C=CC(CC(=O)O)=CC1,True,180.078644244,1.7124,1,2,True,1,4,46.53
420,F421,CN(C)C(=O)C=1C=NNC1,True,139.074561908,0.11149999999999977,1,2,True,1,1,48.99
466,F467,CN(CCO)C=1C=CC=CN1,True,152.094963004,0.5100999999999998,1,3,True,1,3,36.36
487,F488,CN1CCN(CC1)C(=O)COC=2C=CC(C)=CC2,True,248.15247788,1.1478199999999994,0,3,True,2,3,32.78
500,F501,CN1N=NC=2CCC(CC21)C(=O)O,True,181.085126592,0.004599999999999882,1,4,True,2,1,68.01
502,F503,CNC(=O)C1(CC=2C=CC=CC2F)CC1,True,207.105942288,1.8943999999999996,1,1,True,2,3,29.1
528,F529,CNC=1C=CC=CC1S(=O)(=O)C,True,185.051049592,1.1318,1,3,True,1,2,46.17
534,F535,CNCC1=NN=C2C=CC=CN12,True,162.09054632,0.44869999999999993,1,4,True,2,2,42.22
557,F558,COC(=O)NC=1C=CC(CC=2C=CN=CC2)=CC1,True,242.105527688,2.8507000000000007,1,3,True,2,3,51.22
578,F579,COC=1C=CC=2N=C(NC(=O)C3CC3)SC2C1,True,248.061948624,2.6534000000000004,1,4,True,3,3,51.22
583,F584,COC=1C=CC=C2NC(=O)CCCC12,True,191.094628656,1.9699999999999998,1,2,True,2,1,38.33
599,F600,COCC1=NN=C(N)S1,True,145.030982844,0.26670000000000016,1,5,True,1,2,61.03
602,F603,CS(=O)(=O)CC1=NC=2C=CC=CC2N1,True,210.04629856,1.1075,1,3,True,2,2,62.82
615,F616,CS(=O)(=O)NCCC=1C=CC(F)=CC1,True,217.057277844,0.9174,1,2,True,1,4,46.17
617,F618,C[C@@H](CO)N(C)C=1N=CC=CC1F,True,184.101191256,1.0377,1,3,True,1,3,36.36
649,F650,Cl.O=C(N1CCCC1)C=2C=NNC2,True,165.090211972,0.6456999999999999,1,2,True,2,1,48.99
665,F666,FC=1C=CC(=CC1)N2CCN(CC2)C(=O)C3CC3,True,248.132491384,1.8842999999999999,0,2,True,3,2,23.55
686,F687,FC=1C=CC=CC1NCC=2C=CNN2,True,191.08587554,2.1608999999999994,2,2,True,2,3,40.71
708,F709,NC(=O)N1CCN(CC1)C(=O)C2=CC=CO2,True,223.095691276,0.11610000000000031,1,3,True,2,1,79.78000000000002
709,F710,NC(=O)N1CCN(CC1)C=2C=CC(F)=CC2,True,223.112090288,1.0264,1,2,True,2,1,49.57000000000001
739,F740,O=C(NC1CC1)C=2C=CC=3OCOC3C2,True,205.073893212,1.3074999999999999,1,3,True,3,2,47.56
740,F741,O=C(NC1CC1)C=2C=NN3C=CC=NC23,True,202.08546094,0.6214999999999999,1,4,True,3,2,59.290000000000006
759,F760,O=C1CC2=C(C=C(Br)C=C2)N1,True,210.963275912,1.9436999999999995,1,1,True,2,0,29.1
762,F763,O=C1N(CCO)C=CC(Br)=C1,True,216.973840596,0.6030999999999995,1,3,True,1,2,42.230000000000004
