,Fragment ID,Smiles,Site 1,MolWt,LogP,HBond donors,HBond acceptors,RO5,Rings,Rotatable bonds,TPSA
0,F1,BrC1=CC(C#N)=C(OC)C=C1,False,210.963275912,2.3293800000000005,0,2,True,1,1,33.019999999999996
1,F2,BrC1=CC(CO)=NC=C1,False,186.963275912,1.3363999999999998,1,2,True,1,1,33.120000000000005
2,F3,BrC1=CC(COC)=NC=C1,False,200.978925976,1.9904999999999997,0,2,True,1,2,22.12
3,F4,BrC1=CC(O)=C(C(O)=O)C=C1,False,215.94220612,1.8529,2,2,True,1,1,57.53
4,F5,BrC1=CC(OC)=C(CC(O)=O)C=C1,True,243.973506248,2.0848,1,2,True,1,3,46.53
5,F6,BrC1=CC(OC)=C(CO)C=C1,False,215.978591628,1.9499999999999997,1,2,True,1,2,29.46
6,F7,BrC1=CC(OC)=NC=C1,False,186.963275912,1.8527,0,2,True,1,1,22.12
7,F8,BrC1=CC=C(NC(C)=O)C=C1,False,212.978925976,2.4074999999999998,1,1,True,1,1,29.1
8,F9,BrC1=CC=C(S(C)(=O)=O)C=C1,False,233.935012564,1.8526000000000002,0,2,True,1,1,34.14
9,F10,BrC1=CC=C(S(N)(=O)=O)C=C1,False,234.930261532,1.0965,1,2,True,1,1,60.160000000000004
10,F11,BrC1=CC=NC2=NC=CC=C21,True,207.96361026,2.3922999999999996,0,2,True,2,0,25.78
11,F12,BrC1=CN(CC(O)=O)N=C1,False,203.9534395,0.7302,1,3,True,1,2,55.120000000000005
12,F13,BrC1=CN(CCO)N=C1,True,189.974174944,0.6378999999999999,1,3,True,1,2,38.05
13,F14,BrC1=CN(CCOC)N=C1,True,203.989825008,1.2919999999999998,0,3,True,1,3,27.05
14,F15,BrC1=CN=CN=C1,False,157.947960196,1.2390999999999999,0,2,True,1,0,25.78
15,F16,BrC1=CNN=C1,False,145.947960196,1.1722,1,1,True,1,0,28.68
16,F17,BrC1=CON=C1,False,146.931975784,1.4370999999999998,0,2,True,1,0,26.03
17,F18,BrC=1C=CC=NC1NC2CCCNC2=O,False,269.01637410399996,1.5345999999999997,2,3,True,2,2,54.02
18,F19,C(C1CCNCC1)C2=NC(=NO2)C3CC3,False,207.137162164,1.4890999999999999,1,4,True,3,3,50.95
