Fragment ID,Site 1,Site 2,Site 3,Site 4,All Sites
F1,FALSE,FALSE,FALSE,FALSE,FALSE
F2,FALSE,FALSE,FALSE,FALSE,FALSE
F3,FALSE,FALSE,FALSE,FALSE,FALSE
F4,FALSE,FALSE,FALSE,FALSE,FALSE
F5,TRUE,TRUE,FALSE,FALSE,TRUE
F6,FALSE,TRUE,FALSE,FALSE,TRUE
F7,FALSE,FALSE,FALSE,FALSE,FALSE
F8,FALSE,FALSE,FALSE,FALSE,FALSE
F9,FALSE,FALSE,FALSE,FALSE,FALSE
F10,FALSE,FALSE,FALSE,FALSE,FALSE
F11,TRUE,TRUE,FALSE,FALSE,TRUE
F12,FALSE,FALSE,FALSE,FALSE,FALSE
F13,TRUE,FALSE,FALSE,FALSE,TRUE
F14,TRUE,FALSE,FALSE,FALSE,TRUE
F15,FALSE,FALSE,FALSE,FALSE,FALSE
F16,FALSE,FALSE,FALSE,FALSE,FALSE
F17,FALSE,FALSE,FALSE,FALSE,FALSE
F18,FALSE,FALSE,FALSE,FALSE,FALSE
F19,FALSE,FALSE,FALSE,FALSE,FALSE
F20,FALSE,FALSE,FALSE,FALSE,FALSE
F21,FALSE,FALSE,FALSE,FALSE,FALSE
F22,FALSE,FALSE,FALSE,FALSE,FALSE
F23,FALSE,FALSE,FALSE,FALSE,FALSE
F24,FALSE,FALSE,FALSE,FALSE,FALSE
F25,FALSE,FALSE,FALSE,FALSE,FALSE
F26,FALSE,FALSE,FALSE,FALSE,FALSE
F27,FALSE,FALSE,FALSE,FALSE,FALSE
F28,FALSE,FALSE,FALSE,FALSE,FALSE
F29,FALSE,FALSE,FALSE,FALSE,FALSE
F30,FALSE,FALSE,FALSE,FALSE,FALSE
F31,FALSE,FALSE,FALSE,FALSE,FALSE
F32,FALSE,FALSE,FALSE,FALSE,FALSE
F33,FALSE,FALSE,FALSE,FALSE,FALSE
F34,FALSE,FALSE,FALSE,FALSE,FALSE
F35,FALSE,FALSE,FALSE,FALSE,FALSE
F36,FALSE,FALSE,FALSE,FALSE,FALSE
F37,FALSE,FALSE,FALSE,FALSE,FALSE
F38,FALSE,FALSE,FALSE,FALSE,FALSE
F39,FALSE,FALSE,FALSE,FALSE,FALSE
F40,FALSE,FALSE,FALSE,FALSE,FALSE
F41,FALSE,FALSE,FALSE,FALSE,FALSE
F42,FALSE,FALSE,FALSE,FALSE,FALSE
F43,FALSE,FALSE,FALSE,FALSE,FALSE
F44,FALSE,FALSE,FALSE,FALSE,FALSE
F45,FALSE,FALSE,FALSE,FALSE,FALSE
F46,FALSE,FALSE,FALSE,FALSE,FALSE
F47,FALSE,FALSE,FALSE,FALSE,FALSE
F48,FALSE,FALSE,FALSE,FALSE,FALSE
F49,FALSE,FALSE,FALSE,FALSE,FALSE
F50,FALSE,FALSE,FALSE,FALSE,FALSE
