ID,LabVisit,LibraryPlate,SourceWell,LibraryName,CompoundSMILES,CompoundCode,CrystalPlate,CrystalWell,EchoX,EchoY,DropVolume,ProteinName,BatchNumber,CompoundStockConcentration,CompoundConcentration,SolventFraction,SoakTransferVol,SoakStatus,SoakTimestamp,CryoStockFraction,CryoFraction,CryoWell,CryoTransferVolume,CryoStatus,CryoTimestamp,SoakingTime,HarvestStatus,CrystalName,Puck,PuckPosition,PinBarcode,MountingResult,MountingArrivalTime,MountedTimestamp,MountingTime,ispybStatus,DataCollectionVisit,SoakDBComments,ProjectDirectory,CrystalTag,CrystalFormName,CrystalFormSpaceGroup,CrystalFormPointGroup,CrystalFormA,CrystalFormB,CrystalFormC,CrystalFormAlpha,CrystalFormBeta,CrystalFormGamma,CrystalFormVolume,DataCollectionBeamline,DataCollectionDate,DataCollectionOutcome,DataCollectionRun,DataCollectionComment,DataCollectionWavelength,DataCollectionPinBarcode,DataCollectionCrystalImage1,DataCollectionCrystalImage2,DataCollectionCrystalImage3,DataCollectionCrystalImage4,DataProcessingPathToImageFiles,DataProcessingProgram,DataProcessingSpaceGroup,DataProcessingUnitCell,DataProcessingAutoAssigned,DataProcessingA,DataProcessingB,DataProcessingC,DataProcessingAlpha,DataProcessingBeta,DataProcessingGamma,DataProcessingResolutionOverall,DataProcessingResolutionLow,DataProcessingResolutionLowInnerShell,DataProcessingResolutionHigh,DataProcessingResolutionHigh15sigma,DataProcessingResolutionHigh20sigma,DataProcessingResolutionHighOuterShell,DataProcessingRmergeOverall,DataProcessingRmergeLow,DataProcessingRmergeHigh,DataProcessingIsigOverall,DataProcessingIsigLow,DataProcessingIsigHigh,DataProcessingCompletenessOverall,DataProcessingCompletenessLow,DataProcessingCompletenessHigh,DataProcessingMultiplicityOverall,DataProcessingMultiplicityLow,DataProcessingMultiplicityHigh,DataProcessingCChalfOverall,DataProcessingCChalfLow,DataProcessingCChalfHigh,DataProcessingPathToLogfile,DataProcessingPathToMTZfile,DataProcessingLOGfileName,DataProcessingMTZfileName,DataProcessingDirectoryOriginal,DataProcessingUniqueReflectionsOverall,DataProcessingLattice,DataProcessingPointGroup,DataProcessingUnitCellVolume,DataProcessingAlert,DataProcessingScore,DataProcessingStatus,DataProcessingRcryst,DataProcessingRfree,DataProcessingPathToDimplePDBfile,DataProcessingPathToDimpleMTZfile,DataProcessingDimpleSuccessful,DimpleResolutionHigh,DimpleRcryst,DimpleRfree,DimplePathToPDB,DimplePathToMTZ,DimpleReferencePDB,DimpleStatus,DimplePANDDAwasRun,DimplePANDDAhit,DimplePANDDAreject,DimplePANDDApath,PANDDAStatus,DatePanDDAModelCreated,RefinementResolution,RefinementResolutionTL,RefinementRcryst,RefinementRcrystTraficLight,RefinementRfree,RefinementRfreeTraficLight,RefinementSpaceGroup,RefinementLigandCC,RefinementRmsdBonds,RefinementRmsdBondsTL,RefinementRmsdAngles,RefinementRmsdAnglesTL,RefinementOutcome,RefinementMTZfree,RefinementCIF,RefinementCIFStatus,RefinementCIFprogram,RefinementPDB_latest,RefinementMTZ_latest,RefinementMatrixWeight,RefinementComment,RefinementPathToRefinementFolder,RefinementLigandConfidence,RefinementLigandBoundConformation,RefinementBoundConformation,RefinementMolProbityScore,RefinementMolProbityScoreTL,RefinementRamachandranOutliers,RefinementRamachandranOutliersTL,RefinementRamachandranFavored,RefinementRamachandranFavoredTL,RefinementProgram,RefinementStatus,Deposition_PDB_ID,Deposition_PDB_file,Deposition_Date,Deposition_mmCIF_model_file,Deposition_mmCIF_SF_file,Label,table_one,AssayIC50,LastUpdated,LastUpdated_by,CompoundSMILESproduct,CompoundStereo,CompoundStereoSMILES,CompoundStereoCIFprogram,CompoundStereoCIFs,CompoundAutofitCC,CompoundAutofitprogram,DataCollectionSubdir,DimpleTwinResolutionHigh,DimpleTwinRcryst,DimpleTwinRfree,DimpleTwinPathToPDB,DimpleTwinPathToMTZ,DimpleTwinReferencePDB,DimpleTwinStatus,DimpleTwinFraction,DataProcessingDimpleTwinSuccessful,RefinementTwinMTZfree,RefinementMMCIFmodel_latest,RefinementMMCIFreflections_latest,RefinementBusterReportHTML
1,lb18145-130,,,Blank,,,CI072345,B12C,250.25,365.82,230,PHIPA,1,0,0,0,0,done,04/07/2019 12:15:11,,,,,,,01:49:51,done,PHIPA-x20001,DLS-586,1,DF150E0046,OK: Clear:Normal,04/07/2019 14:02:52,04/07/2019 14:05:02,1.50115740740741E-03,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 13:31:07,success,PHIPA-x20001_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20001/jpg/lb18145-128-PHIPA-x20001_1_/PHIPA-x20001_1_1_414.0t.png,None,None,None,None,autoPROC,C 1 2 1,81 27 55 90 99 90,True,81,27,55,90,99,90,40.19 - 1.42,40.19,4.48,1.42,n/a,1.59,1.49,0.048,0.022,1.366,10.5,42.5,0.6,90.5,99.1,92.1,2.9,2.2,2.2,0.999,0.999,0.534,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20001/autoprocessing/lb18145-128-PHIPA-x20001_1_autoPROC/aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20001/autoprocessing/lb18145-128-PHIPA-x20001_1_autoPROC/truncate-unique.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20001/PHIPA-x20001_1_/autoPROC,21080,monoclinic_C,2,118804.1,#00FF00,337.215129781,None,,,,,True,,0.19805,0.23402,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20001/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20001/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,,1.42,green,0.19805,green,0.23402,green,C 1 2 1,,0.009,green,1.439,green,1 - Analysis Pending,PHIPA-x20001.free.mtz,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20001/dimple/dimple/final.pdb,,,,,,,,-,gray,-,gray,-,gray,,,,,,,,,,,2019-08-20 13:36,rvk26159,,,,,,,,,,,,,,,,,,,,,
2,lb18145-130,,,Blank,,,CI072345,B12C,317.59,378.56,230,PHIPA,1,0,0,0,0,done,04/07/2019 12:15:11,,,,,,,01:51:06,done,PHIPA-x20002,DLS-586,2,DF150E0116,OK: Clear:Normal,04/07/2019 14:05:04,04/07/2019 14:06:17,8.40277777777778E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 13:55:03,success,PHIPA-x20002_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20002/jpg/lb18145-128-PHIPA-x20002_1_/PHIPA-x20002_1_1_486.0t.png,None,None,None,None,xia2-3dii,C 1 2 1,81 26 55 90 99 90,True,81,26,55,90,99,90,55.14 - 1.65,55.14,7.38,1.65,1.74,None,1.69,0.085,0.028,0.796,9.0,27.6,1.2,94.4,87.4,99.3,3.1,2.9,2.9,0.993,0.998,0.587,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20002/autoprocessing/lb18145-128-PHIPA-x20002_1_xia2-3dii/AUTOMATIC_DEFAULT_aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20002/autoprocessing/lb18145-128-PHIPA-x20002_1_xia2-3dii/AUTOMATIC_DEFAULT_free.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20002/PHIPA-x20002_1_/xia2-3dii,13999,monoclinic_C,2,114403.9,#00FF00,207.922114543,None,,,,,True,,0.21726,0.26345,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20002/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20002/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,,1.65,green,0.21726,green,0.26345,green,C 1 2 1,,0.008,green,1.398,green,1 - Analysis Pending,PHIPA-x20002.free.mtz,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20002/dimple/dimple/final.pdb,,,,,,,,-,gray,-,gray,-,gray,,,,,,,,,,,2019-08-20 13:36,rvk26159,,,,,,,,,,,,,,,,,,,,,
3,lb18145-130,,,Blank,,,CI072345,B12C,111.93,561.47,230,PHIPA,1,0,0,0,0,done,04/07/2019 12:15:11,,,,,,,01:51:41,done,PHIPA-x20003,DLS-586,3,DF150E0865,OK: Clear:Normal,04/07/2019 14:06:18,04/07/2019 14:06:52,3.90046296296296E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 13:33:29,success,PHIPA-x20003_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20003/jpg/lb18145-128-PHIPA-x20003_1_/PHIPA-x20003_1_1_378.0t.png,None,None,None,None,xia2-dials-C2,C 1 2 1,81 27 55 90 99 90,True,81,27,55,90,99,90,55.16 - 1.31,55.16,5.86,1.31,1.35,None,1.34,0.055,0.043,0.389,9.0,21.3,1.2,96.1,99.8,70.1,2.7,1.5,1.5,0.984,0.994,0.840,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20003/autoprocessing/lb18145-128-PHIPA-x20003_1_xia2-dials-C2/AUTOMATIC_DEFAULT_aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20003/autoprocessing/lb18145-128-PHIPA-x20003_1_xia2-dials-C2/AUTOMATIC_DEFAULT_free.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20003/PHIPA-x20003_1_/xia2-dials-C2,28519,monoclinic_C,2,118804.1,#00FF00,415.239593583,None,,,,,True,,0.19089,0.21854,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20003/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20003/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,,1.31,green,0.19089,green,0.21854,green,C 1 2 1,,0.013,green,1.780,green,1 - Analysis Pending,PHIPA-x20003.free.mtz,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20003/dimple/dimple/final.pdb,,,,,,,,-,gray,-,gray,-,gray,,,,,,,,,,,2019-08-20 13:36,rvk26159,,,,,,,,,,,,,,,,,,,,,
4,lb18145-130,,,Blank,,,CI072345,B12C,-77.35,178.36,230,PHIPA,1,0,0,0,0,done,04/07/2019 12:15:11,,,,,,,01:54:43,done,PHIPA-x20004,DLS-586,4,DF150E0981,OK: Clear:Cracked,04/07/2019 14:06:53,04/07/2019 14:09:54,2.09490740740741E-03,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 13:32:13,success,PHIPA-x20004_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20004/jpg/lb18145-128-PHIPA-x20004_1_/PHIPA-x20004_1_1_468.0t.png,None,None,None,None,autoPROC,C 1 2 1,81 27 55 90 99 90,True,81,27,55,90,99,90,55.05 - 1.42,55.05,4.49,1.42,n/a,1.71,1.50,0.073,0.027,2.122,7.5,31.2,0.4,89.9,98.8,93.7,2.9,2.2,2.2,0.998,0.999,0.579,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20004/autoprocessing/lb18145-128-PHIPA-x20004_1_autoPROC/aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20004/autoprocessing/lb18145-128-PHIPA-x20004_1_autoPROC/truncate-unique.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20004/PHIPA-x20004_1_/autoPROC,20802,monoclinic_C,2,118804.1,#00FF00,236.115563352,None,,,,,True,,0.21430,0.26830,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20004/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20004/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,,1.42,green,0.21430,green,0.26830,green,C 1 2 1,,0.008,green,1.389,green,1 - Analysis Pending,PHIPA-x20004.free.mtz,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20004/dimple/dimple/final.pdb,,,,,,,,-,gray,-,gray,-,gray,,,,,,,,,,,2019-08-20 13:36,rvk26159,,,,,,,,,,,,,,,,,,,,,
5,lb18145-130,384pp,f19,Control,,,CI072345,B12C,37.31,48.23,230,PHIPA,1,0,0,20,57.5,done,04/07/2019 12:15:11,,,,,,,01:56:14,done,PHIPA-x20005,DLS-586,5,DF150E0781,OK: Clear:Cracked,04/07/2019 14:10:13,04/07/2019 14:11:25,8.31018518518519E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,LB18145-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-10 11:26,rvk26159,,,,,,,,,,,,,,,,,,,,,
6,lb18145-130,384pp,f19,Control,,,CI072345,B12C,-77.35,67.34,230,PHIPA,1,0,0,20,57.5,done,04/07/2019 12:15:11,,,,,,,01:57:36,done,PHIPA-x20006,DLS-586,6,DF150E1031,OK: Clear:Normal,04/07/2019 14:11:28,04/07/2019 14:12:47,9.12037037037037E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 13:31:37,success,PHIPA-x20006_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20006/jpg/lb18145-128-PHIPA-x20006_1_/PHIPA-x20006_1_1_522.0t.png,None,None,None,None,autoPROC,C 1 2 1,81 27 55 90 100 90,True,81,27,55,90,100,90,40.18 - 1.41,40.18,4.46,1.41,n/a,1.63,1.49,0.071,0.031,1.516,7.9,27.6,0.5,92.1,99.5,82.8,2.9,2.1,2.1,0.998,0.998,0.527,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20006/autoprocessing/lb18145-128-PHIPA-x20006_1_autoPROC/aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20006/autoprocessing/lb18145-128-PHIPA-x20006_1_autoPROC/truncate-unique.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20006/PHIPA-x20006_1_/autoPROC,21631,monoclinic_C,2,118457.6,#00FF00,265.72375753,None,,,,,True,,0.19982,0.23963,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20006/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20006/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,,1.41,green,0.19982,green,0.23963,green,C 1 2 1,,0.009,green,1.475,green,1 - Analysis Pending,PHIPA-x20006.free.mtz,,,,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20006/dimple/dimple/final.pdb,,,,,,,,-,gray,-,gray,-,gray,,,,,,,,,,,2019-08-20 13:36,rvk26159,,,,,,,,,,,,,,,,,,,,,
7,lb18145-130,384pp,f19,Control,,,CI072345,B12C,304.85,290.29,230,PHIPA,1,0,0,20,57.5,done,04/07/2019 12:15:11,,,,,,,01:58:53,done,PHIPA-x20007,DLS-586,7,-CANT-FIND-,OK: Clear:Normal,04/07/2019 14:12:49,04/07/2019 14:14:04,8.65740740740741E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,LB18145-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-10 12:16,rvk26159,,,,,,,,,,,,,,,,,,,,,
8,lb18145-130,384pp,f19,Control,,,CI072345,B12C,-330.33,-108.29,230,PHIPA,1,0,0,20,57.5,done,04/07/2019 12:15:11,,,,,,,02:00:18,done,PHIPA-x20008,DLS-586,8,-CANT-FIND-,OK: Clear:Melted,04/07/2019 14:14:05,04/07/2019 14:15:29,9.72222222222222E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,LB18145-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-10 11:29,rvk26159,,,,,,,,,,,,,,,,,,,,,
9,lb18145-130,FragLite Set 1,A1,EG,BrC1=CNN=C1,NCL-00023819,CI072345,B12C,434.98,406.77,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:07:59,done,PHIPA-x20009,DLS-586,9,DF150E0857,OK: Clear:Cracked,04/07/2019 14:21:51,04/07/2019 14:23:11,9.28240740740741E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 13:32:04,success,PHIPA-x20009_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20009/jpg/lb18145-128-PHIPA-x20009_1_/PHIPA-x20009_1_1_360.0t.png,None,None,None,None,xia2-3dii,C 1 2 1,81 27 55 90 100 90,True,81,27,55,90,100,90,39.99 - 1.57,39.99,7.02,1.57,1.65,None,1.61,0.110,0.047,1.002,6.9,20.7,1.1,99.4,98.3,99.4,3.2,2.7,2.7,0.993,0.997,0.443,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20009/autoprocessing/lb18145-128-PHIPA-x20009_1_xia2-3dii/AUTOMATIC_DEFAULT_aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20009/autoprocessing/lb18145-128-PHIPA-x20009_1_xia2-3dii/AUTOMATIC_DEFAULT_free.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20009/PHIPA-x20009_1_/xia2-3dii,17005,monoclinic_C,2,118457.6,#00FF00,196.915171336,None,,,,,True,,0.19331,0.23618,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20009/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20009/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,,1.57,green,0.19331,green,0.23618,green,C 1 2 1,,0.010,green,1.483,green,1 - Analysis Pending,PHIPA-x20009.free.mtz,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20009/compound/NCL-00023819.cif,restraints generated,grade,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20009/dimple/dimple/final.pdb,,,,,,,,-,gray,-,gray,-,gray,,,,,,,,,,,2019-08-20 13:36,rvk26159,,,,,,,,,,,,,,,,,,,,,
10,lb18145-130,FragLite Set 1,A2,EG,IC1=CNN=C1,NCL-00023818,CI072345,B12C,-202.02,255.71,230,PHIPA,2,100,20,20,57.5,done,04/07/2019 12:15:12,,,,,,,02:09:13,done,PHIPA-x20010,DLS-586,10,DF150E1009,OK: Clear:Normal,04/07/2019 14:23:14,04/07/2019 14:24:25,8.22916666666667E-04,exported to ispyb\LB18145-128_2019-07-05_15-52-16_ispyb,lb18145-128,,,,,,,,,,,,,,i04-1,2019-07-09 13:32:30,success,PHIPA-x20010_1_,,0.91587,None,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20010/jpg/lb18145-128-PHIPA-x20010_1_/PHIPA-x20010_1_1_486.0t.png,None,None,None,None,xia2-3dii,C 1 2 1,81 27 55 90 99 90,True,81,27,55,90,99,90,55.03 - 1.35,55.03,6.04,1.35,1.41,None,1.39,0.038,0.017,0.789,13.8,44.0,1.1,96.7,97.8,87.1,2.8,2.0,2.0,0.998,0.999,0.392,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20010/autoprocessing/lb18145-128-PHIPA-x20010_1_xia2-3dii/AUTOMATIC_DEFAULT_aimless.log,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20010/autoprocessing/lb18145-128-PHIPA-x20010_1_xia2-3dii/AUTOMATIC_DEFAULT_free.mtz,None,None,/dls/i04-1/data/2019/lb18145-128/processed/PHIPA/PHIPA-x20010/PHIPA-x20010_1_/xia2-3dii,26002,monoclinic_C,2,118804.1,#00FF00,584.131842588,None,,,,,True,,0.18266,0.20861,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20010/dimple.pdb,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20010/dimple.mtz,/dls/labxchem/data/2019/lb18145-130/processing/reference/c2_refine.pdb,finished,True,,False,/dls/labxchem/data/2019/lb18145-130/processing/analysis/panddas,,,1.35,green,0.18266,green,0.20861,green,C 1 2 1,,0.013,green,1.765,green,1 - Analysis Pending,PHIPA-x20010.free.mtz,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20010/compound/NCL-00023818.cif,restraints generated,grade,/dls/labxchem/data/2019/lb18145-130/processing/analysis/model_building/PHIPA-x20010/dimple/dimple/final.pdb,,,,,,,,-,gray,-,gray,-,gray,,,,,,,,,,,2019-08-20 13:36,rvk26159,,,,,,,,,,,,,,,,,,,,,
