,Crystals,PDBs,Fragment_IDs,Smiles,site-1,site-2,site-3,site-4
0,PHIPA-x20023,5RJJ,F11,BrC1=CC=NC2=NC=CC=C21,TRUE,TRUE,FALSE,FALSE
1,PHIPA-x20028,5RJK,F777,OC1=C(C#N)C=C(Br)C=C1,FALSE,TRUE,FALSE,FALSE
2,PHIPA-x20029,5RJL,F6,BrC1=CC(OC)=C(CO)C=C1,FALSE,TRUE,FALSE,FALSE
3,PHIPA-x20030,5RJM,F13,BrC1=CN(CCO)N=C1,TRUE,FALSE,FALSE,FALSE
4,PHIPA-x20033,5RJN,F14,BrC1=CN(CCOC)N=C1,TRUE,FALSE,FALSE,FALSE
5,PHIPA-x20045,5RJO,F760,O=C1CC2=C(C=C(Br)C=C2)N1,TRUE,FALSE,FALSE,FALSE
6,PHIPA-x20062,5RJP,F763,O=C1N(CCO)C=CC(Br)=C1,TRUE,FALSE,FALSE,FALSE
7,PHIPA-x20065,5RJQ,F5,BrC1=CC(OC)=C(CC(O)=O)C=C1,TRUE,TRUE,FALSE,FALSE
8,PHIPA-x20076,5RJR,F616,CS(=O)(=O)NCCC=1C=CC(F)=CC1,TRUE,FALSE,FALSE,FALSE
9,PHIPA-x20167,5RJS,F741,O=C(NC1CC1)C=2C=NN3C=CC=NC23,TRUE,FALSE,FALSE,FALSE
10,PHIPA-x20175,5RJT,F199,CC1=CC(=NO1)C(=O)NC=2C=NN(C)C2,TRUE,FALSE,FALSE,FALSE
11,PHIPA-x20330,5RJU,F728,O=C(CC1CCCCC1)NN2C=NN=C2,FALSE,FALSE,FALSE,TRUE
12,PHIPA-x20337,5RJV,F558,COC(=O)NC=1C=CC(CC=2C=CN=CC2)=CC1,TRUE,FALSE,FALSE,FALSE
13,PHIPA-x20370,5RJW,F309,CC=1C=CSC1C(=O)O,TRUE,FALSE,FALSE,FALSE
14,PHIPA-x20404,5RJX,F529,CNC=1C=CC=CC1S(=O)(=O)C,TRUE,FALSE,FALSE,FALSE
15,PHIPA-x20442,5RJY,F96,CC(=O)NCC=1C=NNC1,TRUE,FALSE,FALSE,FALSE
16,PHIPA-x20453,5RJZ,F374,CCNC(=O)C1=CNN=N1,TRUE,FALSE,FALSE,FALSE
17,PHIPA-x20463,5RK0,F95,CC(=O)NCC=1C=CC(=CC1)S(=O)(=O)N,TRUE,FALSE,FALSE,FALSE
18,PHIPA-x20477,5RK1,F584,COC=1C=CC=C2NC(=O)CCCC12,TRUE,FALSE,FALSE,FALSE
19,PHIPA-x20485,5RK2,F467,CN(CCO)C=1C=CC=CN1,TRUE,FALSE,FALSE,FALSE
20,PHIPA-x20529,5RK3,F205,CC1=CC=C(N)C(=O)N1C,TRUE,FALSE,FALSE,FALSE
21,PHIPA-x20548,5RK4,F362,CCN(CC)C1=CC(C)=NC2=NC=NN12,TRUE,FALSE,FALSE,FALSE
22,PHIPA-x20551,5RK5,F600,COCC1=NN=C(N)S1,TRUE,FALSE,FALSE,FALSE
23,PHIPA-x20552,5RK6,F710,NC(=O)N1CCN(CC1)C=2C=CC(F)=CC2,TRUE,FALSE,FALSE,FALSE
24,PHIPA-x20561,5RK7,F393,CCOC(=O)N1CCOCC1,TRUE,FALSE,FALSE,FALSE
